batch_id,phase,wave,position_in_batch,annotation_item_id
B003,production,W1,8,F0008
B003,production,W1,9,F0009
B003,production,W1,10,F0010
B003,production,W1,11,F0011
B003,production,W1,12,F0012
B003,production,W1,13,F0013
B003,production,W1,14,F0014
B003,production,W1,15,F0015
B003,production,W1,16,F0016
B003,production,W1,17,F0017
B003,production,W1,18,F0018
B003,production,W1,19,F0020
B003,production,W1,20,F0021
B003,production,W1,21,F0022
B003,production,W1,22,F0023
B003,production,W1,23,F0025
B003,production,W1,24,F0026
B003,production,W1,25,F0027
B003,production,W1,26,F0028
B003,production,W1,27,F0029
B003,production,W1,28,F0030
B003,production,W1,29,F0031
B003,production,W1,30,F0032
B003,production,W1,31,F0033
B003,production,W1,32,F0034
B003,production,W1,33,F0035
B003,production,W1,34,F0036
B003,production,W1,35,F0037
B003,production,W1,36,F0038
B003,production,W1,37,F0039
B003,production,W1,38,F0040
B003,production,W1,39,F0041
B003,production,W1,40,F0042
B003,production,W1,41,F0043
B003,production,W1,42,F0044
B003,production,W1,43,F0045
B003,production,W1,44,F0046
B003,production,W1,45,F0047
B003,production,W1,46,F0048
B003,production,W1,47,F0050
B003,production,W1,48,F0051
B003,production,W1,49,F0052
B003,production,W1,50,F0053
B004,production,W1,1,F0054
B004,production,W1,2,F0055
B004,production,W1,3,F0056
B004,production,W1,4,F0060
B004,production,W1,5,F0061
B004,production,W1,6,F0062
B004,production,W1,7,F0063
B004,production,W1,8,F0064
B004,production,W1,9,F0066
B004,production,W1,10,F0067
B004,production,W1,11,F0068
B004,production,W1,12,F0069
B004,production,W1,13,F0070
B004,production,W1,14,F0072
B004,production,W1,15,F0073
B004,production,W1,16,F0074
B004,production,W1,17,F0075
B004,production,W1,18,F0076
B004,production,W1,19,F0077
B004,production,W1,20,F0078
B004,production,W1,21,F0080
B004,production,W1,22,F0081
B004,production,W1,23,F0082
B004,production,W1,24,F0083
B004,production,W1,25,F0084
B004,production,W1,26,F0085
B004,production,W1,27,F0087
B004,production,W1,28,F0088
B004,production,W1,29,F0089
B004,production,W1,30,F0090
B004,production,W1,31,F0091
B004,production,W1,32,F0092
B004,production,W1,33,F0093
B004,production,W1,34,F0094
B004,production,W1,35,F0095
B004,production,W1,36,F0096
B004,production,W1,37,F0097
B004,production,W1,38,F0098
B004,production,W1,39,F0099
B004,production,W1,40,F0100
B004,production,W1,41,F0101
B004,production,W1,42,F0102
B004,production,W1,43,F0103
B004,production,W1,44,F0104
B004,production,W1,45,F0105
B004,production,W1,46,F0106
B004,production,W1,47,F0107
B004,production,W1,48,F0108
B004,production,W1,49,F0109
B004,production,W1,50,F0110
B005,production,W1,1,F0111
B005,production,W1,2,F0112
B005,production,W1,3,F0113
B005,production,W1,4,F0114
B005,production,W1,5,F0115
B005,production,W1,6,F0116
B005,production,W1,7,F0117
B005,production,W1,8,F0119
B005,production,W1,9,F0120
B005,production,W1,10,F0121
B005,production,W1,11,F0122
B005,production,W1,12,F0123
B005,production,W1,13,F0124
B005,production,W1,14,F0125
B005,production,W1,15,F0126
B005,production,W1,16,F0127
B005,production,W1,17,F0128
B005,production,W1,18,F0129
B005,production,W1,19,F0130
B005,production,W1,20,F0131
B005,production,W1,21,F0132
B005,production,W1,22,F0133
B005,production,W1,23,F0134
B005,production,W1,24,F0135
B005,production,W1,25,F0136
B005,production,W1,26,F0137
B005,production,W1,27,F0138
B005,production,W1,28,F0139
B005,production,W1,29,F0140
B005,production,W1,30,F0141
B005,production,W1,31,F0143
B005,production,W1,32,F0144
B005,production,W1,33,F0145
B005,production,W1,34,F0146
B005,production,W1,35,F0147
B005,production,W1,36,F0148
B005,production,W1,37,F0149
B005,production,W1,38,F0150
B005,production,W1,39,F0151
B005,production,W1,40,F0152
B005,production,W1,41,F0153
B005,production,W1,42,F0154
B005,production,W1,43,F0155
B005,production,W1,44,F0156
B005,production,W1,45,F0157
B005,production,W1,46,F0158
B005,production,W1,47,F0159
B005,production,W1,48,F0160
B005,production,W1,49,F0161
B005,production,W1,50,F0162
B006,production,W1,1,F0163
B006,production,W1,2,F0164
B006,production,W1,3,F0165
B006,production,W1,4,F0166
B006,production,W1,5,F0167
B006,production,W1,6,F0168
B006,production,W1,7,F0169
B006,production,W1,8,F0170
B006,production,W1,9,F0171
B006,production,W1,10,F0172
B006,production,W1,11,F0173
B006,production,W1,12,F0174
B006,production,W1,13,F0175
B006,production,W1,14,F0176
B006,production,W1,15,F0177
B006,production,W1,16,F0178
B006,production,W1,17,F0179
B006,production,W1,18,F0180
B006,production,W1,19,F0181
B006,production,W1,20,F0182
B006,production,W1,21,F0183
B006,production,W1,22,F0184
B006,production,W1,23,F0185
B006,production,W1,24,F0186
B006,production,W1,25,F0187
B006,production,W1,26,F0188
B006,production,W1,27,F0189
B006,production,W1,28,F0190
B006,production,W1,29,F0191
B006,production,W1,30,F0192
B006,production,W1,31,F0194
B006,production,W1,32,F0195
B006,production,W1,33,F0196
B006,production,W1,34,F0197
B006,production,W1,35,F0198
B006,production,W1,36,F0199
B006,production,W1,37,F0200
B006,production,W1,38,F0201
B006,production,W1,39,F0202
B006,production,W1,40,F0203
B006,production,W1,41,F0205
B006,production,W1,42,F0206
B006,production,W1,43,F0207
B006,production,W1,44,F0208
B006,production,W1,45,F0209
B006,production,W1,46,F0210
B006,production,W1,47,F0211
B006,production,W1,48,F0212
B006,production,W1,49,F0213
B006,production,W1,50,F0214
B007,production,W1,1,F0215
B007,production,W1,2,F0216
B007,production,W1,3,F0218
B007,production,W1,4,F0219
B007,production,W1,5,F0220
B007,production,W1,6,F0222
B007,production,W1,7,F0223
B007,production,W1,8,F0224
B007,production,W1,9,F0225
B007,production,W1,10,F0226
B007,production,W1,11,F0227
B007,production,W1,12,F0228
B007,production,W1,13,F0229
B007,production,W1,14,F0230
B007,production,W1,15,F0231
B007,production,W1,16,F0232
B007,production,W1,17,F0233
B007,production,W1,18,F0234
B007,production,W1,19,F0235
B007,production,W1,20,F0236
B007,production,W1,21,F0237
B007,production,W1,22,F0238
B007,production,W1,23,F0239
B007,production,W1,24,F0240
B007,production,W1,25,F0241
B007,production,W1,26,F0242
B007,production,W1,27,F0243
B007,production,W1,28,F0244
B007,production,W1,29,F0245
B007,production,W1,30,F0246
B007,production,W1,31,F0247
B007,production,W1,32,F0248
B007,production,W1,33,F0250
B007,production,W1,34,F0251
B007,production,W1,35,F0252
B007,production,W1,36,F0254
B007,production,W1,37,F0255
B007,production,W1,38,F0256
B007,production,W1,39,F0257
B007,production,W1,40,F0258
B007,production,W1,41,F0259
B007,production,W1,42,F0260
B007,production,W1,43,F0261
B007,production,W1,44,F0262
B007,production,W1,45,F0263
B007,production,W1,46,F0264
B007,production,W1,47,F0265
B007,production,W1,48,F0266
B007,production,W1,49,F0267
B007,production,W1,50,F0268
B008,production,W1,1,F0269
B008,production,W1,2,F0270
B008,production,W1,3,F0271
B008,production,W1,4,F0272
B008,production,W1,5,F0273
B008,production,W1,6,F0274
B008,production,W1,7,F0275
B008,production,W1,8,F0276
B008,production,W1,9,F0277
B008,production,W1,10,F0278
B008,production,W1,11,F0279
B008,production,W1,12,F0280
B008,production,W1,13,F0281
B008,production,W1,14,F0282
B008,production,W1,15,F0283
B008,production,W1,16,F0284
B008,production,W1,17,F0285
B008,production,W1,18,F0286
B008,production,W1,19,F0287
B008,production,W1,20,F0288
B008,production,W1,21,F0289
B008,production,W1,22,F0290
B008,production,W1,23,F0292
B008,production,W1,24,F0293
B008,production,W1,25,F0294
B008,production,W1,26,F0295
B008,production,W1,27,F0296
B008,production,W1,28,F0297
B008,production,W1,29,F0298
B008,production,W1,30,F0299
B008,production,W1,31,F0300
B008,production,W1,32,F0301
B008,production,W1,33,F0303
B008,production,W1,34,F0304
B008,production,W1,35,F0305
B008,production,W1,36,F0306
B008,production,W1,37,F0307
B008,production,W1,38,F0308
B008,production,W1,39,F0309
B008,production,W1,40,F0310
B008,production,W1,41,F0311
B008,production,W1,42,F0312
B008,production,W1,43,F0313
B008,production,W1,44,F0314
B008,production,W1,45,F0315
B008,production,W1,46,F0316
B008,production,W1,47,F0317
B008,production,W1,48,F0318
B008,production,W1,49,F0319
B008,production,W1,50,F0320
B009,production,W1,1,F0321
B009,production,W1,2,F0322
B009,production,W1,3,F0323
B009,production,W1,4,F0324
B009,production,W1,5,F0325
B009,production,W1,6,F0326
B009,production,W1,7,F0327
B009,production,W1,8,F0328
B009,production,W1,9,F0329
B009,production,W1,10,F0330
B009,production,W1,11,F0331
B009,production,W1,12,F0332
B009,production,W1,13,F0333
B009,production,W1,14,F0334
B009,production,W1,15,F0335
B009,production,W1,16,F0336
B009,production,W1,17,F0337
B009,production,W1,18,F0338
B009,production,W1,19,F0339
B009,production,W1,20,F0340
B009,production,W1,21,F0341
B009,production,W1,22,F0342
B009,production,W1,23,F0343
B009,production,W1,24,F0344
B009,production,W1,25,F0345
B009,production,W1,26,F0346
B009,production,W1,27,F0347
B009,production,W1,28,F0348
B009,production,W1,29,F0349
B009,production,W1,30,F0350
B009,production,W1,31,F0352
B009,production,W1,32,F0353
B009,production,W1,33,F0354
B009,production,W1,34,F0355
B009,production,W1,35,F0356
B009,production,W1,36,F0357
B009,production,W1,37,F0359
B009,production,W1,38,F0360
B009,production,W1,39,F0361
B009,production,W1,40,F0362
B009,production,W1,41,F0363
B009,production,W1,42,F0364
B009,production,W1,43,F0365
B009,production,W1,44,F0366
B009,production,W1,45,F0367
B009,production,W1,46,F0368
B009,production,W1,47,F0369
B009,production,W1,48,F0370
B009,production,W1,49,F0371
B009,production,W1,50,F0372
B010,production,W1,1,F0373
B010,production,W1,2,F0374
B010,production,W1,3,F0375
B010,production,W1,4,F0376
B010,production,W1,5,F0377
B010,production,W1,6,F0378
B010,production,W1,7,F0379
B010,production,W1,8,F0380
B010,production,W1,9,F0381
B010,production,W1,10,F0382
B010,production,W1,11,F0383
B010,production,W1,12,F0384
B010,production,W1,13,F0385
B010,production,W1,14,F0386
B010,production,W1,15,F0388
B010,production,W1,16,F0389
B010,production,W1,17,F0390
B010,production,W1,18,F0391
B010,production,W1,19,F0392
B010,production,W1,20,F0393
B010,production,W1,21,F0394
B010,production,W1,22,F0395
B010,production,W1,23,F0396
B010,production,W1,24,F0397
B010,production,W1,25,F0398
B010,production,W1,26,F0399
B010,production,W1,27,F0400
B010,production,W1,28,F0401
B010,production,W1,29,F0402
B010,production,W1,30,F0403
B010,production,W1,31,F0404
B010,production,W1,32,F0405
B010,production,W1,33,F0406
B010,production,W1,34,F0407
B010,production,W1,35,F0409
B010,production,W1,36,F0410
B010,production,W1,37,F0411
B010,production,W1,38,F0412
B010,production,W1,39,F0413
B010,production,W1,40,F0414
B010,production,W1,41,F0415
B010,production,W1,42,F0416
B010,production,W1,43,F0417
B010,production,W1,44,F0418
B010,production,W1,45,F0419
B010,production,W1,46,F0420
B010,production,W1,47,F0421
B010,production,W1,48,F0422
B010,production,W1,49,F0423
B010,production,W1,50,F0424
B011,production,W1,1,F0425
B011,production,W1,2,F0426
B011,production,W1,3,F0427
B011,production,W1,4,F0428
B011,production,W1,5,F0429
B011,production,W1,6,F0430
B011,production,W1,7,F0431
B011,production,W1,8,F0432
B011,production,W1,9,F0433
B011,production,W1,10,F0434
B011,production,W1,11,F0435
B011,production,W1,12,F0436
B011,production,W1,13,F0437
B011,production,W1,14,F0438
B011,production,W1,15,F0439
B011,production,W1,16,F0440
B011,production,W1,17,F0441
B011,production,W1,18,F0442
B011,production,W1,19,F0443
B011,production,W1,20,F0444
B011,production,W1,21,F0445
B011,production,W1,22,F0446
B011,production,W1,23,F0447
B011,production,W1,24,F0448
B011,production,W1,25,F0449
B011,production,W1,26,F0451
B011,production,W1,27,F0452
B011,production,W1,28,F0453
B011,production,W1,29,F0454
B011,production,W1,30,F0455
B011,production,W1,31,F0456
B011,production,W1,32,F0457
B011,production,W1,33,F0458
B011,production,W1,34,F0459
B011,production,W1,35,F0460
B011,production,W1,36,F0461
B011,production,W1,37,F0462
B011,production,W1,38,F0463
B011,production,W1,39,F0464
B011,production,W1,40,F0465
B011,production,W1,41,F0466
B011,production,W1,42,F0467
B011,production,W1,43,F0468
B011,production,W1,44,F0469
B011,production,W1,45,F0470
B011,production,W1,46,F0472
B011,production,W1,47,F0475
B011,production,W1,48,F0477
B011,production,W1,49,F0478
B011,production,W1,50,F0479
B012,production,W2,1,F0480
B012,production,W2,2,F0481
B012,production,W2,3,F0482
B012,production,W2,4,F0483
B012,production,W2,5,F0484
B012,production,W2,6,F0485
B012,production,W2,7,F0486
B012,production,W2,8,F0487
B012,production,W2,9,F0488
B012,production,W2,10,F0489
B012,production,W2,11,F0490
B012,production,W2,12,F0491
B012,production,W2,13,F0492
B012,production,W2,14,F0493
B012,production,W2,15,F0494
B012,production,W2,16,F0495
B012,production,W2,17,F0496
B012,production,W2,18,F0497
B012,production,W2,19,F0498
B012,production,W2,20,F0499
B012,production,W2,21,F0500
B012,production,W2,22,F0501
B012,production,W2,23,F0502
B012,production,W2,24,F0503
B012,production,W2,25,F0504
B012,production,W2,26,F0505
B012,production,W2,27,F0506
B012,production,W2,28,F0507
B012,production,W2,29,F0508
B012,production,W2,30,F0509
B012,production,W2,31,F0510
B012,production,W2,32,F0511
B012,production,W2,33,F0512
B012,production,W2,34,F0513
B012,production,W2,35,F0514
B012,production,W2,36,F0515
B012,production,W2,37,F0516
B012,production,W2,38,F0518
B012,production,W2,39,F0519
B012,production,W2,40,F0520
B012,production,W2,41,F0521
B012,production,W2,42,F0522
B012,production,W2,43,F0523
B012,production,W2,44,F0524
B012,production,W2,45,F0525
B012,production,W2,46,F0526
B012,production,W2,47,F0527
B012,production,W2,48,F0528
B012,production,W2,49,F0529
B012,production,W2,50,F0530
B013,production,W2,1,F0531
B013,production,W2,2,F0532
B013,production,W2,3,F0534
B013,production,W2,4,F0535
B013,production,W2,5,F0536
B013,production,W2,6,F0537
B013,production,W2,7,F0538
B013,production,W2,8,F0539
B013,production,W2,9,F0540
B013,production,W2,10,F0541
B013,production,W2,11,F0542
B013,production,W2,12,F0543
B013,production,W2,13,F0544
B013,production,W2,14,F0545
B013,production,W2,15,F0546
B013,production,W2,16,F0547
B013,production,W2,17,F0548
B013,production,W2,18,F0549
B013,production,W2,19,F0550
B013,production,W2,20,F0551
B013,production,W2,21,F0552
B013,production,W2,22,F0553
B013,production,W2,23,F0554
B013,production,W2,24,F0555
B013,production,W2,25,F0556
B013,production,W2,26,F0557
B013,production,W2,27,F0558
B013,production,W2,28,F0559
B013,production,W2,29,F0560
B013,production,W2,30,F0561
B013,production,W2,31,F0562
B013,production,W2,32,F0563
B013,production,W2,33,F0564
B013,production,W2,34,F0565
B013,production,W2,35,F0566
B013,production,W2,36,F0567
B013,production,W2,37,F0568
B013,production,W2,38,F0569
B013,production,W2,39,F0570
B013,production,W2,40,F0571
B013,production,W2,41,F0572
B013,production,W2,42,F0573
B013,production,W2,43,F0574
B013,production,W2,44,F0575
B013,production,W2,45,F0576
B013,production,W2,46,F0578
B013,production,W2,47,F0579
B013,production,W2,48,F0580
B013,production,W2,49,F0581
B013,production,W2,50,F0582
B014,production,W2,1,F0583
B014,production,W2,2,F0584
B014,production,W2,3,F0585
B014,production,W2,4,F0586
B014,production,W2,5,F0587
B014,production,W2,6,F0588
B014,production,W2,7,F0589
B014,production,W2,8,F0590
B014,production,W2,9,F0591
B014,production,W2,10,F0592
B014,production,W2,11,F0593
B014,production,W2,12,F0594
B014,production,W2,13,F0595
B014,production,W2,14,F0596
B014,production,W2,15,F0597
B014,production,W2,16,F0598
B014,production,W2,17,F0599
B014,production,W2,18,F0600
B014,production,W2,19,F0601
B014,production,W2,20,F0602
B014,production,W2,21,F0603
B014,production,W2,22,F0604
B014,production,W2,23,F0605
B014,production,W2,24,F0606
B014,production,W2,25,F0607
B014,production,W2,26,F0608
B014,production,W2,27,F0609
B014,production,W2,28,F0610
B014,production,W2,29,F0611
B014,production,W2,30,F0612
B014,production,W2,31,F0613
B014,production,W2,32,F0614
B014,production,W2,33,F0615
B014,production,W2,34,F0616
B014,production,W2,35,F0617
B014,production,W2,36,F0618
B014,production,W2,37,F0619
B014,production,W2,38,F0620
B014,production,W2,39,F0621
B014,production,W2,40,F0622
B014,production,W2,41,F0623
B014,production,W2,42,F0624
B014,production,W2,43,F0625
B014,production,W2,44,F0626
B014,production,W2,45,F0627
B014,production,W2,46,F0628
B014,production,W2,47,F0629
B014,production,W2,48,F0630
B014,production,W2,49,F0631
B014,production,W2,50,F0632
B015,production,W2,1,F0633
B015,production,W2,2,F0634
B015,production,W2,3,F0635
B015,production,W2,4,F0636
B015,production,W2,5,F0637
B015,production,W2,6,F0638
B015,production,W2,7,F0639
B015,production,W2,8,F0640
B015,production,W2,9,F0641
B015,production,W2,10,F0642
B015,production,W2,11,F0643
B015,production,W2,12,F0644
B015,production,W2,13,F0645
B015,production,W2,14,F0646
B015,production,W2,15,F0647
B015,production,W2,16,F0648
B015,production,W2,17,F0649
B015,production,W2,18,F0650
B015,production,W2,19,F0651
B015,production,W2,20,F0652
B015,production,W2,21,F0653
B015,production,W2,22,F0654
B015,production,W2,23,F0656
B015,production,W2,24,F0657
B015,production,W2,25,F0658
B015,production,W2,26,F0659
B015,production,W2,27,F0660
B015,production,W2,28,F0661
B015,production,W2,29,F0662
B015,production,W2,30,F0664
B015,production,W2,31,F0665
B015,production,W2,32,F0666
B015,production,W2,33,F0667
B015,production,W2,34,F0668
B015,production,W2,35,F0669
B015,production,W2,36,F0670
B015,production,W2,37,F0671
B015,production,W2,38,F0672
B015,production,W2,39,F0673
B015,production,W2,40,F0674
B015,production,W2,41,F0675
B015,production,W2,42,F0676
B015,production,W2,43,F0677
B015,production,W2,44,F0678
B015,production,W2,45,F0679
B015,production,W2,46,F0680
B015,production,W2,47,F0681
B015,production,W2,48,F0682
B015,production,W2,49,F0683
B015,production,W2,50,F0684
B016,production,W2,1,F0685
B016,production,W2,2,F0687
B016,production,W2,3,F0688
B016,production,W2,4,F0689
B016,production,W2,5,F0691
B016,production,W2,6,F0692
B016,production,W2,7,F0693
B016,production,W2,8,F0694
B016,production,W2,9,F0695
B016,production,W2,10,F0696
B016,production,W2,11,F0697
B016,production,W2,12,F0698
B016,production,W2,13,F0699
B016,production,W2,14,F0701
B016,production,W2,15,F0702
B016,production,W2,16,F0703
B016,production,W2,17,F0704
B016,production,W2,18,F0705
B016,production,W2,19,F0706
B016,production,W2,20,F0707
B016,production,W2,21,F0709
B016,production,W2,22,F0710
B016,production,W2,23,F0712
B016,production,W2,24,F0713
B016,production,W2,25,F0714
B016,production,W2,26,F0715
B016,production,W2,27,F0716
B016,production,W2,28,F0717
B016,production,W2,29,F0718
B016,production,W2,30,F0719
B016,production,W2,31,F0720
B016,production,W2,32,F0721
B016,production,W2,33,F0722
B016,production,W2,34,F0723
B016,production,W2,35,F0724
B016,production,W2,36,F0725
B016,production,W2,37,F0726
B016,production,W2,38,F0727
B016,production,W2,39,F0728
B016,production,W2,40,F0729
B016,production,W2,41,F0730
B016,production,W2,42,F0731
B016,production,W2,43,F0732
B016,production,W2,44,F0733
B016,production,W2,45,F0734
B016,production,W2,46,F0735
B016,production,W2,47,F0736
B016,production,W2,48,F0737
B016,production,W2,49,F0738
B016,production,W2,50,F0739
B017,production,W2,1,F0740
B017,production,W2,2,F0741
B017,production,W2,3,F0742
B017,production,W2,4,F0743
B017,production,W2,5,F0744
B017,production,W2,6,F0745
B017,production,W2,7,F0746
B017,production,W2,8,F0747
B017,production,W2,9,F0748
B017,production,W2,10,F0749
B017,production,W2,11,F0750
B017,production,W2,12,F0751
B017,production,W2,13,F0752
B017,production,W2,14,F0753
B017,production,W2,15,F0754
B017,production,W2,16,F0755
B017,production,W2,17,F0756
B017,production,W2,18,F0757
B017,production,W2,19,F0758
B017,production,W2,20,F0759
B017,production,W2,21,F0760
B017,production,W2,22,F0761
B017,production,W2,23,F0762
B017,production,W2,24,F0763
B017,production,W2,25,F0764
B017,production,W2,26,F0765
B017,production,W2,27,F0766
B017,production,W2,28,F0767
B017,production,W2,29,F0768
B017,production,W2,30,F0769
B017,production,W2,31,F0770
B017,production,W2,32,F0771
B017,production,W2,33,F0772
B017,production,W2,34,F0773
B017,production,W2,35,F0774
B017,production,W2,36,F0775
B017,production,W2,37,F0776
B017,production,W2,38,F0777
B017,production,W2,39,F0778
B017,production,W2,40,F0779
B017,production,W2,41,F0780
B017,production,W2,42,F0781
B017,production,W2,43,F0782
B017,production,W2,44,F0783
B017,production,W2,45,F0785
B017,production,W2,46,F0786
B017,production,W2,47,F0787
B017,production,W2,48,F0788
B017,production,W2,49,F0789
B017,production,W2,50,F0790
B018,production,W2,1,F0791
B018,production,W2,2,F0792
B018,production,W2,3,F0793
B018,production,W2,4,F0794
B018,production,W2,5,F0795
B018,production,W2,6,F0796
B018,production,W2,7,F0797
B018,production,W2,8,F0798
B018,production,W2,9,F0799
B018,production,W2,10,F0800
B018,production,W2,11,F0801
B018,production,W2,12,F0802
B018,production,W2,13,F0803
B018,production,W2,14,F0804
B018,production,W2,15,F0805
B018,production,W2,16,F0806
B018,production,W2,17,F0807
B018,production,W2,18,F0808
B018,production,W2,19,F0809
B018,production,W2,20,F0810
B018,production,W2,21,F0811
B018,production,W2,22,F0812
B018,production,W2,23,F0813
B018,production,W2,24,F0814
B018,production,W2,25,F0815
B018,production,W2,26,F0816
B018,production,W2,27,F0817
B018,production,W2,28,F0818
B018,production,W2,29,F0819
B018,production,W2,30,F0820
B018,production,W2,31,F0821
B018,production,W2,32,F0822
B018,production,W2,33,F0823
B018,production,W2,34,F0824
B018,production,W2,35,F0825
B018,production,W2,36,F0826
B018,production,W2,37,F0827
B018,production,W2,38,F0828
B018,production,W2,39,F0829
B018,production,W2,40,F0830
B018,production,W2,41,F0831
B018,production,W2,42,F0832
B018,production,W2,43,F0833
B018,production,W2,44,F0834
B018,production,W2,45,F0835
B018,production,W2,46,F0836
B018,production,W2,47,F0837
B018,production,W2,48,F0838
B018,production,W2,49,F0839
B018,production,W2,50,F0840
B019,production,W2,1,F0841
B019,production,W2,2,F0842
B019,production,W2,3,F0843
B019,production,W2,4,F0845
B019,production,W2,5,F0846
B019,production,W2,6,F0847
B019,production,W2,7,F0848
B019,production,W2,8,F0849
B019,production,W2,9,F0850
B019,production,W2,10,F0851
B019,production,W2,11,F0852
B019,production,W2,12,F0853
B019,production,W2,13,F0854
B019,production,W2,14,F0855
B019,production,W2,15,F0856
B019,production,W2,16,F0857
B019,production,W2,17,F0858
B019,production,W2,18,F0859
B019,production,W2,19,F0861
B019,production,W2,20,F0862
B019,production,W2,21,F0863
B019,production,W2,22,F0864
B019,production,W2,23,F0865
B019,production,W2,24,F0866
B019,production,W2,25,F0867
B019,production,W2,26,F0868
B019,production,W2,27,F0871
B019,production,W2,28,F0872
B019,production,W2,29,F0873
B019,production,W2,30,F0874
B019,production,W2,31,F0875
B019,production,W2,32,F0876
B019,production,W2,33,F0877
B019,production,W2,34,F0878
B019,production,W2,35,F0879
B019,production,W2,36,F0880
B019,production,W2,37,F0881
B019,production,W2,38,F0882
B019,production,W2,39,F0884
B019,production,W2,40,F0885
B019,production,W2,41,F0886
B019,production,W2,42,F0887
B019,production,W2,43,F0888
B019,production,W2,44,F0889
B019,production,W2,45,F0890
B019,production,W2,46,F0892
B019,production,W2,47,F0893
B019,production,W2,48,F0894
B019,production,W2,49,F0895
B019,production,W2,50,F0896
B020,production,W2,1,F0897
B020,production,W2,2,F0898
B020,production,W2,3,F0899
B020,production,W2,4,F0900
B020,production,W2,5,F0901
B020,production,W2,6,F0902
B020,production,W2,7,F0903
B020,production,W2,8,F0904
B020,production,W2,9,F0905
B020,production,W2,10,F0906
B020,production,W2,11,F0907
B020,production,W2,12,F0908
B020,production,W2,13,F0909
B020,production,W2,14,F0910
B020,production,W2,15,F0911
B020,production,W2,16,F0912
B020,production,W2,17,F0913
B020,production,W2,18,F0914
B020,production,W2,19,F0915
B020,production,W2,20,F0916
B020,production,W2,21,F0917
B020,production,W2,22,F0918
B020,production,W2,23,F0919
B020,production,W2,24,F0920
B020,production,W2,25,F0921
B020,production,W2,26,F0922
B020,production,W2,27,F0923
B020,production,W2,28,F0924
B020,production,W2,29,F0926
B020,production,W2,30,F0927
B020,production,W2,31,F0928
B020,production,W2,32,F0929
