Concept ID,Macro Dimension,Subdomain,Tradition / School,Philosophical Concept,Symbolic Keywords,Visual Evidence Patterns,Visual Inferability,Temporal Requirement,Grounding Rule,Maslow Relevance (Auxiliary),SEP Relationship,SEP Entry,SEP URL,Source Accessed,Ontology Status
PHC-021,Ontology,"Objects, Properties & Categories",Analytic Philosophy,Holes,Absence; negative space; non-being-as-being,Doughnut's hole; hole in clothing; missing puzzle-piece; cheese-hole,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,direct,Stanford Encyclopedia of Philosophy: holes,https://plato.stanford.edu/entries/holes/,2026-09-09,candidate
PHC-022,Ontology,"Objects, Properties & Categories",Analytic Philosophy,Intrinsic vs Extrinsic Properties (Descartes),Inner essence vs relational attribute,Apple's sweetness vs its placement; person's character vs environment; metal density vs shape; water formula vs container-shape,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,direct,Stanford Encyclopedia of Philosophy: intrinsic vs. extrinsic properties,https://plato.stanford.edu/entries/intrinsic-extrinsic/,2026-09-09,candidate
PHC-023,Ontology,"Objects, Properties & Categories",Analytic Philosophy,Location and Mereology (Newton),Spatial occupation; parts and positions,Parking spaces; books on shelves; chess pieces on board; puzzle-piece placement,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,direct,Stanford Encyclopedia of Philosophy: mereology,https://plato.stanford.edu/entries/mereology/,2026-09-09,candidate
PHC-024,Ontology,"Objects, Properties & Categories",Analytic Philosophy,Material Constitution (Locke),Material composition; material identity,Dough into bread; wood into table; wool into sweater; clay into pottery,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,direct,Stanford Encyclopedia of Philosophy: material constitution,https://plato.stanford.edu/entries/material-constitution/,2026-09-09,candidate
PHC-025,Ontology,"Objects, Properties & Categories",Analytic Philosophy,Mereology (Leibniz),Part-whole relations; compositional structure,Puzzle pieces; Lego modular assembly; machine parts; bodily organs,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,direct,Stanford Encyclopedia of Philosophy: mereology,https://plato.stanford.edu/entries/mereology/,2026-09-09,candidate
PHC-026,Ontology,"Objects, Properties & Categories",Analytic Philosophy,Natural Kinds (Locke),Natural categories; intrinsic commonality,Same mineral crystals; same plant leaves; same animal skeletal structure; periodic-table families,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,direct,Stanford Encyclopedia of Philosophy: natural kinds,https://plato.stanford.edu/entries/natural-kinds/,2026-09-09,candidate
PHC-027,Ontology,"Objects, Properties & Categories",Analytic Philosophy,Natural Properties (Hume),Empirical properties; observable features,Colour shades; texture coarseness; pitch; scent intensity,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,direct,Stanford Encyclopedia of Philosophy: natural,https://plato.stanford.edu/entries/natural-properties/,2026-09-09,candidate
PHC-028,Ontology,"Objects, Properties & Categories",Analytic Philosophy,Non-existent Objects (Meinong),Fictional beings; reference without object,Unicorn in fairy-tale; phoenix legend; dream-scenes; city in novel,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,related,Stanford Encyclopedia of Philosophy: nonexistent objects,https://plato.stanford.edu/entries/nonexistent-objects/,2026-09-09,candidate
PHC-029,Ontology,"Objects, Properties & Categories",Analytic Philosophy,Objects (Wittgenstein),Units of reference; logical atoms; independent elements,Scattered Lego bricks; periodic-table cells; alphabet letters; single puzzle-piece,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,thinker_or_tradition,"Stanford Encyclopedia of Philosophy: Wittgenstein, Ludwig",https://plato.stanford.edu/entries/wittgenstein/,2026-09-09,ontology_only
PHC-030,Ontology,"Objects, Properties & Categories",Analytic Philosophy,Ordinary Objects (Austin),Common-sense objects; everyday experiential items,Cup on table; roadside stone; keys in hand; flowerpot on sill,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,direct,Stanford Encyclopedia of Philosophy: ordinary objects,https://plato.stanford.edu/entries/ordinary-objects/,2026-09-09,candidate
PHC-031,Ontology,"Objects, Properties & Categories",Analytic Philosophy,Particulars (Ockham),Individual; single instance; non-universal,Unique snowflake; specific coin; concrete person; particular stone,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,self_actualization,contextual,Stanford Encyclopedia of Philosophy: metaphysics,https://plato.stanford.edu/entries/metaphysics/,2026-09-09,ontology_only
PHC-032,Ontology,"Objects, Properties & Categories",Analytic Philosophy,Possible Objects (Meinong),Potential existents; not-yet-realised,Undrawn sketch; unbuilt blueprint-model; unhatched egg; unopened seed,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,related,Stanford Encyclopedia of Philosophy: nonexistent objects,https://plato.stanford.edu/entries/nonexistent-objects/,2026-09-09,candidate
PHC-033,Ontology,"Objects, Properties & Categories",Analytic Philosophy,Sortal Terms (Aristotle),Category labels; classifying vocabulary,Animal-classification names; botanical-name tags; mineral-cards; dictionary part-of-speech labels,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,thinker_or_tradition,Stanford Encyclopedia of Philosophy: Aristotle,https://plato.stanford.edu/entries/aristotle/,2026-09-09,ontology_only
PHC-034,Ontology,"Objects, Properties & Categories",Analytic Philosophy,Sounds,Vibratory propagation; auditory phenomenon,Tuning-fork vibration; speaker-membrane; valley-echo; ripple-like sound-waves,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,direct,Stanford Encyclopedia of Philosophy: sounds,https://plato.stanford.edu/entries/sounds/,2026-09-09,candidate
PHC-035,Ontology,"Objects, Properties & Categories",Analytic Philosophy,States of Affairs (Wittgenstein),Possible configurations; skeleton of facts; points in logical space,Possible block arrangements; point on coordinate system; Lego-step; chemical structure formula,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,direct,Stanford Encyclopedia of Philosophy: states of affairs,https://plato.stanford.edu/entries/states-of-affairs/,2026-09-09,candidate
PHC-036,Ontology,"Objects, Properties & Categories",Analytic Philosophy,Truth-makers (Armstrong),Entities that make propositions true; grounds of truth,Key material evidence; scale-weights; scene behind photo; signature-owner,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,direct,Stanford Encyclopedia of Philosophy: truthmakers,https://plato.stanford.edu/entries/truthmakers/,2026-09-09,candidate
PHC-037,Ontology,"Objects, Properties & Categories",Analytic Philosophy,Truth-value (Frege),Correspondence with fact; propositional truth/falsity,Tick and cross; balance-point; verification-pass; mirror showing actual,not_image_decidable,snapshot,"Do not assign from a single image without decisive text, provenance, or task context.",not_applicable,thinker_or_tradition,"Stanford Encyclopedia of Philosophy: Frege, Gottlob",https://plato.stanford.edu/entries/frege/,2026-09-09,ontology_only
PHC-038,Ontology,"Objects, Properties & Categories",Analytic Philosophy,Type and Token (Peirce),Type vs instance; template vs print,Font-matrix vs printed letters; score vs each performance; mould vs cast product; original vs copy,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,direct,Stanford Encyclopedia of Philosophy: types and tokens,https://plato.stanford.edu/entries/types-tokens/,2026-09-09,candidate
PHC-039,Ontology,"Objects, Properties & Categories",Ancient Greek Philosophy,Abstract Objects (Plato),Forms; archetypes; non-material; eternal models,Cave paintings; floating mathematical formulae; geometric projections; intangible outlines,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,direct,Stanford Encyclopedia of Philosophy: abstract objects,https://plato.stanford.edu/entries/abstract-objects/,2026-09-09,candidate
PHC-040,Ontology,"Objects, Properties & Categories",Ancient Greek Philosophy,Ancient Atomism (Democritus),Smallest units; indivisibility; void and plenum,Scattered sand grains; floating particles; puzzle pieces; microscope-visible granules,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,direct,Stanford Encyclopedia of Philosophy: ancient,https://plato.stanford.edu/entries/atomism-ancient/,2026-09-09,candidate
PHC-041,Ontology,"Objects, Properties & Categories",Ancient Greek Philosophy,Essential vs Accidental Properties (Aristotle),Essence vs accident; necessary attributes; core vs surface,Apple's redness and sweetness; statue's material and posture; tree rings and bark; facial bone structure vs expression,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,direct,Stanford Encyclopedia of Philosophy: essential vs. accidental properties,https://plato.stanford.edu/entries/essential-accidental/,2026-09-09,candidate
PHC-042,Ontology,"Objects, Properties & Categories",Ancient Greek Philosophy,Form and Matter (Aristotle),Matter receiving form; shaping and being shaped,Clay and potter's wheel; marble and chisel; dough and mould; bronze and cast,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,direct,Stanford Encyclopedia of Philosophy: form vs. matter,https://plato.stanford.edu/entries/form-matter/,2026-09-09,candidate
PHC-043,Ontology,"Objects, Properties & Categories",Ancient Greek Philosophy,Substance (Aristotle),Independent existence; ground; bearer of properties,Load-bearing pillar; trunk supporting crown; ship's keel; foundation and building,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,direct,Stanford Encyclopedia of Philosophy: substance,https://plato.stanford.edu/entries/substance/,2026-09-09,candidate
PHC-044,Ontology,"Objects, Properties & Categories",Medieval Philosophy,Conceptualism (Abelard),Mental image; conception; tacit grasp,Red imagined with eyes closed; inner silent speech; blurred dream face; solitary inner monologue; imagined city,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,related,Stanford Encyclopedia of Philosophy: the medieval problem of,https://plato.stanford.edu/entries/universals-medieval/,2026-09-09,candidate
PHC-045,Ontology,"Objects, Properties & Categories",Medieval Philosophy,Extreme Realism (Anselm),Archetype; prototype; pre-existing form,Blueprint before building; mould shaping clay; seal on wax; root to branch; master copy to duplicates,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,related,Stanford Encyclopedia of Philosophy: the medieval problem of,https://plato.stanford.edu/entries/universals-medieval/,2026-09-09,candidate
PHC-046,Ontology,"Objects, Properties & Categories",Medieval Philosophy,Moderate Realism (Aquinas),Immanent; embodied; co-existing,Skeleton with different garments; fishbone with flesh; branches with leaves; bones in flesh; grammar in language,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,related,Stanford Encyclopedia of Philosophy: the medieval problem of,https://plato.stanford.edu/entries/universals-medieval/,2026-09-09,candidate
PHC-047,Ontology,"Objects, Properties & Categories",Medieval Philosophy,"Nominalism (Roscelin, Ockham)",Empty name; mere label; no reality,Paper scraps blown in wind; moving lips without sound; empty envelope; nameplate with no sitter; label on empty can,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,related,Stanford Encyclopedia of Philosophy: in metaphysics,https://plato.stanford.edu/entries/nominalism-metaphysics/,2026-09-09,candidate
PHC-048,Ontology,"Objects, Properties & Categories",Medieval Philosophy,Problem of Universals (Porphyry),Commonality; abstract common names; individuals and kinds,Uniform-clad crowd; cookie-cutter biscuits; same-blueprint houses; duplicated stamps,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,related,Stanford Encyclopedia of Philosophy: the medieval problem of,https://plato.stanford.edu/entries/universals-medieval/,2026-09-09,candidate
PHC-049,Ontology,"Objects, Properties & Categories",Medieval Philosophy,Theory of Categories (Boethius),Classificatory framework; basic kinds; orderly arrangement,Library classification labels; biological taxonomy; filing-cabinet drawers; colour-chart sections,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,related,Stanford Encyclopedia of Philosophy: categories,https://plato.stanford.edu/entries/categories/,2026-09-09,candidate
PHC-050,Ontology,"Objects, Properties & Categories",Medieval Philosophy,Theory of Relations (Aquinas),Ties; bonds; interdependence,Gear interlocking; rope knotting; vine twining; circuit wiring,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,thinker_or_tradition,"Stanford Encyclopedia of Philosophy: Aquinas, Thomas",https://plato.stanford.edu/entries/aquinas/,2026-09-09,ontology_only
PHC-051,Ontology,"Objects, Properties & Categories",Modern Philosophy,Attributes (Spinoza),Attached properties; modes of manifestation; essential expression,Colours refracted from light; tone colour; fragrance; tactile texture,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,thinker_or_tradition,"Stanford Encyclopedia of Philosophy: Spinoza, Baruch",https://plato.stanford.edu/entries/spinoza/,2026-09-09,ontology_only
PHC-052,Ontology,"Objects, Properties & Categories",Modern Philosophy,Monad (Leibniz),Indivisible point; inner world; windowless enclosure,Crystal-ball interior; honeycomb cell; floating bubble; seed's embryo,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,thinker_or_tradition,"Stanford Encyclopedia of Philosophy: Leibniz, Gottfried Wilhelm",https://plato.stanford.edu/entries/leibniz/,2026-09-09,ontology_only
PHC-053,Ontology,"Objects, Properties & Categories",Modern Philosophy,Substance (Spinoza),Self-cause; independent self-existence; ground of all,Self-luminous sun; source-spring; bedrock under foundation; deep roots,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,not_applicable,direct,Stanford Encyclopedia of Philosophy: substance,https://plato.stanford.edu/entries/substance/,2026-09-09,candidate
PHC-054,Ontology,Identity & Persistence,Analytic Philosophy,Animalism (theory of personal identity),person as human animal; organismic continuity; biological persistence,the same living organism tracked across changes of role or appearance; a continuity record linking one human animal across time; bodily persistence contrasted with a change of memories or social identity,context_heavy,longitudinal,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.",not_applicable,direct,Stanford Encyclopedia of Philosophy: animalism,https://plato.stanford.edu/entries/animalism/,2026-09-09,candidate
PHC-055,Ontology,Identity & Persistence,Analytic Philosophy,Death (Plato),Termination; boundary; limit of life,Extinguished candle; sunset's last moment; closing book; flatlining ECG,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,physiological,direct,Stanford Encyclopedia of Philosophy: death,https://plato.stanford.edu/entries/death/,2026-09-09,candidate
PHC-056,Ontology,Identity & Persistence,Analytic Philosophy,Definition of Death (medical philosophy),Criteria for death; life-death demarcation,Medical monitor zero; legislative threshold; legal signing moment; boundary-stone,symbol_mediated,snapshot,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,physiological,direct,Stanford Encyclopedia of Philosophy: death: definition of,https://plato.stanford.edu/entries/death-definition/,2026-09-09,candidate
PHC-057,Ontology,Identity & Persistence,Analytic Philosophy,Diachronic Identity (Hume),Persistence over time; change-within-stability,Same river over time; old tree's continuous growth; city's continuity; family lineage,context_heavy,longitudinal,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.",esteem,related,Stanford Encyclopedia of Philosophy: personal identity,https://plato.stanford.edu/entries/identity-personal/,2026-09-09,candidate
PHC-058,Ontology,Identity & Persistence,Analytic Philosophy,Identity (Frege),Sameness; identity-criteria; identification marks,Mirror reflection; twin comparison; fingerprint matching; barcode scan,context_heavy,longitudinal,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.",esteem,direct,Stanford Encyclopedia of Philosophy: identity,https://plato.stanford.edu/entries/identity/,2026-09-09,candidate
PHC-059,Ontology,Identity & Persistence,Analytic Philosophy,Identity of Indiscernibles (Leibniz),Indiscernible = identical; fully coincident properties,Two identical drops of water; copy-pasted file; same-batch posters; cloned cells,context_heavy,longitudinal,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.",esteem,direct,Stanford Encyclopedia of Philosophy: of indiscernibles,https://plato.stanford.edu/entries/identity-indiscernible/,2026-09-09,candidate
PHC-060,Ontology,Identity & Persistence,Analytic Philosophy,Personal Identity (Locke),Continuous self; memory-chain; diachronic unity,String of pearls; successive footprints; continuous diary pages; same river-system,context_heavy,longitudinal,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.",esteem,related,Stanford Encyclopedia of Philosophy: personal identity,https://plato.stanford.edu/entries/identity-personal/,2026-09-09,candidate
PHC-061,Ontology,Identity & Persistence,Analytic Philosophy,Relative Identity,Relative criterion; category-dependent sameness,Same style in different sizes; same piece in different arrangements; same image in different resolutions; same software in different versions,context_heavy,longitudinal,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.",esteem,related,Stanford Encyclopedia of Philosophy: relative,https://plato.stanford.edu/entries/identity-relative/,2026-09-09,candidate
PHC-062,Ontology,Identity & Persistence,Analytic Philosophy,Temporal Parts,Stage-segments; diachronic slices,Cross-section of sausage; tree-ring slices; single film-frame; sliced rice-cake segment,symbol_mediated,longitudinal,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,self_actualization,direct,Stanford Encyclopedia of Philosophy: temporal parts,https://plato.stanford.edu/entries/temporal-parts/,2026-09-09,candidate
PHC-063,Ontology,Identity & Persistence,Analytic Philosophy,Transworld Identity (Kripke),Identity across possible worlds; essential stability,Same character in different stills; same product in different batches; same constellation across sky; same person at different ages,context_heavy,longitudinal,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.",esteem,related,Stanford Encyclopedia of Philosophy: transworld,https://plato.stanford.edu/entries/identity-transworld/,2026-09-09,candidate
PHC-064,Ontology,Identity & Persistence,Contemporary Metaphysics,Haecceitism (modal thesis),non-qualitative difference; individual identities across possibilities; haecceitistic world difference,paired possible-world diagrams holding qualitative facts fixed while individual identities are swapped; explicit cross-world identity labels or links; a captioned modal comparison rather than an ordinary image of a unique object,not_image_decidable,snapshot,"Do not assign from a single image without decisive text, provenance, or task context.",not_applicable,direct,Stanford Encyclopedia of Philosophy: haecceitism,https://plato.stanford.edu/entries/haecceitism/,2026-09-09,ontology_only
PHC-065,Ontology,Identity & Persistence,Medieval Scholastic Metaphysics,Haecceity / Thisness (principle of individuation),non-qualitative thisness; individual identity; principle of individuation,a scholastic diagram or text explicitly identifying a thisness or principle of individuation; two qualitatively indiscernible individuals distinguished only by identity labels; no fingerprint; DNA; or generic uniqueness shorthand,not_image_decidable,snapshot,"Do not assign from a single image without decisive text, provenance, or task context.",not_applicable,direct,Stanford Encyclopedia of Philosophy: haecceitism,https://plato.stanford.edu/entries/haecceitism/,2026-09-09,ontology_only
