concept_id,concept,evidence_tier,neighbor_source,neighbor_rank,neighbor_id,neighbor_concept,neighbor_subdomain,similarity_score,shared_axis,shared_symbolic_keywords,concept_only_visual_patterns,neighbor_only_visual_patterns,concept_grounding_rule,neighbor_grounding_rule,human_discrimination_rule,reviewer_id
PHC-066,Being-toward-Death (Heidegger),A_core_recommended,same_subdomain,4,PHC-056,Definition of Death (medical philosophy),Identity & Persistence,0.000,,,candle burning low;countdown clock;sandglass running out;sunset afterglow,boundary-stone;legal signing moment;legislative threshold;medical monitor zero,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,,
PHC-066,Being-toward-Death (Heidegger),A_core_recommended,same_subdomain,5,PHC-057,Diachronic Identity (Hume),Identity & Persistence,0.000,,,candle burning low;countdown clock;sandglass running out;sunset afterglow,city's continuity;family lineage;old tree's continuous growth;same river over time,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.",,
PHC-066,Being-toward-Death (Heidegger),A_core_recommended,lexical_overlap,6,PHC-085,Temporality (Heidegger),"Time, Space & Change",0.083,,,candle burning low;countdown clock;sandglass running out;sunset afterglow,arrow in flight;burning candle;growing vine;unfolding scroll,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,,
PHC-066,Being-toward-Death (Heidegger),A_core_recommended,lexical_overlap,7,PHC-130,Care / Concern (Heidegger),"Mind, Self & Agency",0.074,,,candle burning low;countdown clock;sandglass running out;sunset afterglow,constantly checked clock;knitting yarn;scaffolding under construction;tight reins,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,,
PHC-080,Time (Aristotle),A_core_recommended,same_axis_retrieval,1,PHC-055,Death (Plato),Identity & Persistence,,time_mortality,,calendar leaf turning;hourglass sand;pendulum swing;rushing river,closing book;extinguished candle;flatlining ecg;sunset's last moment,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,,
PHC-080,Time (Aristotle),A_core_recommended,same_axis_retrieval,2,PHC-066,Being-toward-Death (Heidegger),Identity & Persistence,,time_mortality,,calendar leaf turning;hourglass sand;pendulum swing;rushing river,candle burning low;countdown clock;sandglass running out;sunset afterglow,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,,
PHC-080,Time (Aristotle),A_core_recommended,same_subdomain,3,PHC-088,"Becoming (Heraclitus, Bergson)","Time, Space & Change",0.087,,,calendar leaf turning;hourglass sand;pendulum swing;rushing river,changing flame;ever-flowing river;never-still clouds;spinning top,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,,
PHC-080,Time (Aristotle),A_core_recommended,same_subdomain,4,PHC-082,Event (Hegel),"Time, Space & Change",0.042,,,calendar leaf turning;hourglass sand;pendulum swing;rushing river,gear-shift jolt;glass shattering;lightning splitting the sky;volcanic eruption,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,,
PHC-080,Time (Aristotle),A_core_recommended,same_subdomain,5,PHC-091,Process (Whitehead),"Time, Space & Change",0.042,,,calendar leaf turning;hourglass sand;pendulum swing;rushing river,flowing water-sequence;melodic line;winding river-course;woven web,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,,
PHC-080,Time (Aristotle),A_core_recommended,lexical_overlap,6,PHC-268,Time-Consciousness (Husserl),Mind & Self-Knowledge,0.174,,flow,calendar leaf turning;pendulum swing;rushing river,flowing river;melody unfolding;sundial shadow;train window scenery,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,,
PHC-080,Time (Aristotle),A_core_recommended,lexical_overlap,7,PHC-148,Philosophical Infinity,Structure & Infinity,0.048,,,calendar leaf turning;hourglass sand;pendulum swing;rushing river,endless corridor;endless star-field;infinite fractal;perpetual pendulum,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,,
PHC-114,Free Will (Augustine),A_core_recommended,same_axis_retrieval,1,PHC-133,Agency,"Mind, Self & Agency",,choice_journey,,button self-pressed;freely moving brush;loosened reins;turning at crossroads,a control interface operated to produce an observable effect;a deliberate choice followed by a matching action;an agent visibly initiating rather than undergoing a movement,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.",,
PHC-114,Free Will (Augustine),A_core_recommended,same_axis_retrieval,2,PHC-317,Autonomy in Moral and Political Philosophy,Normative & Virtue Ethics,,choice_journey,,button self-pressed;freely moving brush;loosened reins;turning at crossroads,a consent process showing options and refusal;a person choosing among accessible alternatives without visible coercion;an institution enabling independent participation,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.",,
PHC-114,Free Will (Augustine),A_core_recommended,same_subdomain,3,PHC-131,Resolve (Heidegger),"Mind, Self & Agency",0.042,,,button self-pressed;freely moving brush;loosened reins;turning at crossroads,first step taken;footprints at crossroads;pen signing;switch thrown,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,,
PHC-114,Free Will (Augustine),A_core_recommended,same_subdomain,4,PHC-130,Care / Concern (Heidegger),"Mind, Self & Agency",0.040,,,button self-pressed;freely moving brush;loosened reins;turning at crossroads,constantly checked clock;knitting yarn;scaffolding under construction;tight reins,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,,
PHC-114,Free Will (Augustine),A_core_recommended,same_subdomain,5,PHC-107,Anomalous Monism (Davidson),"Mind, Self & Agency",0.000,,,button self-pressed;freely moving brush;loosened reins;turning at crossroads,clouds ever-changing;each heartbeat unique yet same rhythm;handwriting varied yet recognisable;unique snowflakes all melt,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,,
PHC-114,Free Will (Augustine),A_core_recommended,lexical_overlap,6,PHC-505,Neoliberalism,Political Economy & Critical Theory,0.091,,,button self-pressed;freely moving brush;turning at crossroads,dismantled barriers;opened market door;retreating state hand,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.",,
PHC-114,Free Will (Augustine),A_core_recommended,lexical_overlap,7,PHC-098,Mental Causation (Davidson),Causation & Dependence,0.074,,,button self-pressed;freely moving brush;loosened reins;turning at crossroads,decision stepping out;emotion shaping expression;thought moving arm;will driving act,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.",,
PHC-133,Agency,B_context_dependent,same_axis_retrieval,1,PHC-114,Free Will (Augustine),"Mind, Self & Agency",,choice_journey,,a control interface operated to produce an observable effect;a deliberate choice followed by a matching action;an agent visibly initiating rather than undergoing a movement,button self-pressed;freely moving brush;loosened reins;turning at crossroads,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.",Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,,
PHC-133,Agency,B_context_dependent,same_axis_retrieval,2,PHC-317,Autonomy in Moral and Political Philosophy,Normative & Virtue Ethics,,choice_journey,,a control interface operated to produce an observable effect;a deliberate choice followed by a matching action;an agent visibly initiating rather than undergoing a movement,a consent process showing options and refusal;a person choosing among accessible alternatives without visible coercion;an institution enabling independent participation,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.","Require corroborating text, provenance, sequence, or multiple independent visual anchors.",,
PHC-133,Agency,B_context_dependent,same_subdomain,3,PHC-112,Epiphenomenalism (Huxley),"Mind, Self & Agency",0.029,,,a control interface operated to produce an observable effect;a deliberate choice followed by a matching action;an agent visibly initiating rather than undergoing a movement,machine-noise;ripples accompanying stone-drop;shadow following body without pushing;steam accompanying train,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.",Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,,
PHC-133,Agency,B_context_dependent,same_subdomain,4,PHC-131,Resolve (Heidegger),"Mind, Self & Agency",0.029,,,a control interface operated to produce an observable effect;a deliberate choice followed by a matching action;an agent visibly initiating rather than undergoing a movement,first step taken;footprints at crossroads;pen signing;switch thrown,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.",Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,,
PHC-133,Agency,B_context_dependent,same_subdomain,5,PHC-123,Action (Aristotle),"Mind, Self & Agency",0.029,,,a control interface operated to produce an observable effect;a deliberate choice followed by a matching action;an agent visibly initiating rather than undergoing a movement,drawing a bow;reaching for an object;stepping forward;striking a nail,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.",Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,,
PHC-133,Agency,B_context_dependent,lexical_overlap,6,PHC-265,Empathy and Mirror-Neuron Hypotheses,Mind & Self-Knowledge,0.068,,,a control interface operated to produce an observable effect;a deliberate choice followed by a matching action;an agent visibly initiating rather than undergoing a movement,a captioned experiment rather than an unaided social scene;a study diagram linking observed actions to measured neural responses;controlled conditions comparing action observation and execution,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.","Do not assign from a single image without decisive text, provenance, or task context.",,
PHC-133,Agency,B_context_dependent,lexical_overlap,7,PHC-350,Practical Reason (Aristotle),Metaethics,0.062,,,a control interface operated to produce an observable effect;a deliberate choice followed by a matching action;an agent visibly initiating rather than undergoing a movement,decision-tree branches;deliberate signature;route-planning map;scale weighing pros/cons,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.","Require corroborating text, provenance, sequence, or multiple independent visual anchors.",,
PHC-134,Social Ontology,B_context_dependent,same_axis_retrieval,1,PHC-136,Collective Intentionality,Social Ontology,,social_existence,,commonly signed contract;group-voting outcome;shared trust in currency;social convention,interdependent roles directed at a shared result;several people following one plan;synchronized action with a common target,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.","Require corroborating text, provenance, sequence, or multiple independent visual anchors.",,
PHC-134,Social Ontology,B_context_dependent,same_axis_retrieval,2,PHC-440,Recognition (Hegel),"Justice, Rights & Equality",,social_existence,,commonly signed contract;group-voting outcome;shared trust in currency;social convention,eye-contact during handshake;mirror confirmation;mutual gaze;nod of acknowledgment,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.",Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,,
PHC-134,Social Ontology,B_context_dependent,same_subdomain,3,PHC-135,Shared Agency,Social Ontology,0.054,,,commonly signed contract;group-voting outcome;shared trust in currency;social convention,complementary roles following a shared plan;mutual adjustment toward one outcome;two people coordinating a lift that neither can complete alone,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.","Require corroborating text, provenance, sequence, or multiple independent visual anchors.",,
PHC-134,Social Ontology,B_context_dependent,same_subdomain,4,PHC-137,Social Institutions,Social Ontology,0.000,,,commonly signed contract;group-voting outcome;shared trust in currency;social convention,a courtroom with differentiated roles and procedures;a school organized by recurring roles and rules;an institution reproduced through patterned interactions,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.","Require corroborating text, provenance, sequence, or multiple independent visual anchors.",,
PHC-134,Social Ontology,B_context_dependent,lexical_overlap,5,PHC-410,Common Good (Aristotle),Political Philosophy & Authority,0.083,,,commonly signed contract;group-voting outcome;shared trust in currency;social convention,co-cultivated field;common water-source;jointly built roof;shared granary,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.",Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,,
PHC-134,Social Ontology,B_context_dependent,lexical_overlap,6,PHC-424,Political Obligation (Socrates),Political Philosophy & Authority,0.083,,,commonly signed contract;group-voting outcome;shared trust in currency;social convention,commonly observed rules;handshake commitment;signed oath;tied knot,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.","Require corroborating text, provenance, sequence, or multiple independent visual anchors.",,
PHC-136,Collective Intentionality,B_context_dependent,same_axis_retrieval,1,PHC-134,Social Ontology,Social Ontology,,social_existence,,interdependent roles directed at a shared result;several people following one plan;synchronized action with a common target,commonly signed contract;group-voting outcome;shared trust in currency;social convention,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.","Require corroborating text, provenance, sequence, or multiple independent visual anchors.",,
PHC-136,Collective Intentionality,B_context_dependent,same_axis_retrieval,2,PHC-440,Recognition (Hegel),"Justice, Rights & Equality",,social_existence,,interdependent roles directed at a shared result;several people following one plan;synchronized action with a common target,eye-contact during handshake;mirror confirmation;mutual gaze;nod of acknowledgment,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.",Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,,
PHC-136,Collective Intentionality,B_context_dependent,same_subdomain,3,PHC-135,Shared Agency,Social Ontology,0.194,,,interdependent roles directed at a shared result;several people following one plan;synchronized action with a common target,complementary roles following a shared plan;mutual adjustment toward one outcome;two people coordinating a lift that neither can complete alone,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.","Require corroborating text, provenance, sequence, or multiple independent visual anchors.",,
PHC-136,Collective Intentionality,B_context_dependent,same_subdomain,4,PHC-137,Social Institutions,Social Ontology,0.029,,,interdependent roles directed at a shared result;several people following one plan;synchronized action with a common target,a courtroom with differentiated roles and procedures;a school organized by recurring roles and rules;an institution reproduced through patterned interactions,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.","Require corroborating text, provenance, sequence, or multiple independent visual anchors.",,
PHC-136,Collective Intentionality,B_context_dependent,lexical_overlap,5,PHC-382,Collective Responsibility,Applied & Professional Ethics,0.091,,,interdependent roles directed at a shared result;several people following one plan;synchronized action with a common target,a group jointly signing a decision;an organizational chain visibly linked to a harmful outcome;team roles assigned in a shared plan,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.","Require corroborating text, provenance, sequence, or multiple independent visual anchors.",,
PHC-136,Collective Intentionality,B_context_dependent,lexical_overlap,6,PHC-410,Common Good (Aristotle),Political Philosophy & Authority,0.071,,,interdependent roles directed at a shared result;several people following one plan;synchronized action with a common target,co-cultivated field;common water-source;jointly built roof;shared granary,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.",Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,,
PHC-192,"Truth (James, Dewey)",A_core_recommended,same_axis_retrieval,1,PHC-161,"Knowledge (Plato, Aristotle)",Knowledge & Truth,,knowledge_truth,,beams converging on one point;opinions converging to consensus;paths meeting at summit;signs pointing to same city;tributaries to same sea,anatomy chart with scalpel;blueprint beside trowel;design with finished work;score with instrument;theory book next to lab bench,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.",,
PHC-192,"Truth (James, Dewey)",A_core_recommended,same_axis_retrieval,2,PHC-203,Evidence,Justification & Evidence,,knowledge_truth,,beams converging on one point;opinions converging to consensus;paths meeting at summit;signs pointing to same city;tributaries to same sea,a measurement changing a stated conclusion;an observation or record explicitly linked to a claim;competing evidence arranged for comparison,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.",,
PHC-192,"Truth (James, Dewey)",A_core_recommended,same_subdomain,3,PHC-164,Absolute Knowledge (Hegel),Knowledge & Truth,0.030,,,beams converging on one point;opinions converging to consensus;paths meeting at summit;signs pointing to same city;tributaries to same sea,aerial city view;circle closing;final puzzle piece;ouroboros;sphere complete from any angle,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,"Do not assign from a single image without decisive text, provenance, or task context.",,
PHC-192,"Truth (James, Dewey)",A_core_recommended,same_subdomain,4,PHC-177,"Intention (Aquinas, Duns Scotus)",Knowledge & Truth,0.029,,,beams converging on one point;opinions converging to consensus;paths meeting at summit;signs pointing to same city;tributaries to same sea,arrow on bowstring aimed;gaze fixed on one in crowd;searchlight sweeping;telescope on star;viewfinder framing target,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.",,
PHC-192,"Truth (James, Dewey)",A_core_recommended,same_subdomain,5,PHC-174,Divine Illumination (Augustine),Knowledge & Truth,0.028,,,beams converging on one point;opinions converging to consensus;paths meeting at summit;signs pointing to same city;tributaries to same sea,dawn on mountain peak;flashlight sweeping cave;light switched on in dark room;lighthouse through sea mist;stage spotlight,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,,
PHC-192,"Truth (James, Dewey)",A_core_recommended,lexical_overlap,6,PHC-429,General Will (Rousseau),Political Philosophy & Authority,0.100,,,beams converging on one point;opinions converging to consensus;paths meeting at summit;signs pointing to same city;tributaries to same sea,arrows pointing one way;chorus in unison;converging stream;stone pushed by all,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.",,
PHC-192,"Truth (James, Dewey)",A_core_recommended,lexical_overlap,7,PHC-273,Sense (Frege),"Language, Meaning & Representation",0.088,,,beams converging on one point;opinions converging to consensus;paths meeting at summit;signs pointing to same city;tributaries to same sea,"""morning star"" vs ""evening star"" different senses;ancient vs modern city names;same person's pen names;two nicknames for one person",Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,,
PHC-203,Evidence,B_context_dependent,same_axis_retrieval,1,PHC-161,"Knowledge (Plato, Aristotle)",Knowledge & Truth,,knowledge_truth,,a measurement changing a stated conclusion;an observation or record explicitly linked to a claim;competing evidence arranged for comparison,anatomy chart with scalpel;blueprint beside trowel;design with finished work;score with instrument;theory book next to lab bench,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.","Require corroborating text, provenance, sequence, or multiple independent visual anchors.",,
PHC-203,Evidence,B_context_dependent,same_axis_retrieval,2,PHC-192,"Truth (James, Dewey)",Knowledge & Truth,,knowledge_truth,,a measurement changing a stated conclusion;an observation or record explicitly linked to a claim;competing evidence arranged for comparison,beams converging on one point;opinions converging to consensus;paths meeting at summit;signs pointing to same city;tributaries to same sea,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.",Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,,
PHC-203,Evidence,B_context_dependent,same_subdomain,3,PHC-205,Higher-Order Evidence,Justification & Evidence,0.059,,,a measurement changing a stated conclusion;an observation or record explicitly linked to a claim;competing evidence arranged for comparison,a calibration result about an instrument;a reliability warning attached to an earlier conclusion;two equally informed observers disagreeing,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.","Require corroborating text, provenance, sequence, or multiple independent visual anchors.",,
PHC-203,Evidence,B_context_dependent,same_subdomain,4,PHC-199,Justification (Goldman),Justification & Evidence,0.030,,,a measurement changing a stated conclusion;an observation or record explicitly linked to a claim;competing evidence arranged for comparison,diagonal brace;experimental data logs;lawyer presenting evidence;scaffolding layers;supporting pillars,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.","Require corroborating text, provenance, sequence, or multiple independent visual anchors.",,
PHC-203,Evidence,B_context_dependent,same_subdomain,5,PHC-193,Analysis of Knowledge (traditional tripartite),Justification & Evidence,0.000,,,a measurement changing a stated conclusion;an observation or record explicitly linked to a claim;competing evidence arranged for comparison,composition table;ingredient list;labelled specimens on dissection table;parts list;recipe components,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.","Require corroborating text, provenance, sequence, or multiple independent visual anchors.",,
PHC-203,Evidence,B_context_dependent,lexical_overlap,6,PHC-221,Argument and Argumentation,"Inference, Logic & Argumentation",0.125,,,a measurement changing a stated conclusion;an observation or record explicitly linked to a claim;competing evidence arranged for comparison,a debate with claims and reasons visible in text;opposing reasons arranged around a disputed claim;premise boxes linked to a conclusion,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.","Require corroborating text, provenance, sequence, or multiple independent visual anchors.",,
PHC-203,Evidence,B_context_dependent,lexical_overlap,7,PHC-036,Truth-makers (Armstrong),"Objects, Properties & Categories",0.100,,,a measurement changing a stated conclusion;an observation or record explicitly linked to a claim;competing evidence arranged for comparison,key material evidence;scale-weights;scene behind photo;signature-owner,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.",Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.,,
PHC-315,Duty (Kant),B_context_dependent,same_axis_retrieval,1,PHC-345,Moral Responsibility (Aristotle),Metaethics,,ethics_responsibility,,inner compass-like guide;law inscribed on stone tablet;rope of responsibility tied to wrist;unbreakable signpost,hand on steering wheel;shoulder bearing consequence;signature left;signed statement of responsibility,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.","Require corroborating text, provenance, sequence, or multiple independent visual anchors.",,
PHC-315,Duty (Kant),B_context_dependent,same_axis_retrieval,2,PHC-382,Collective Responsibility,Applied & Professional Ethics,,ethics_responsibility,,inner compass-like guide;law inscribed on stone tablet;rope of responsibility tied to wrist;unbreakable signpost,a group jointly signing a decision;an organizational chain visibly linked to a harmful outcome;team roles assigned in a shared plan,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.","Require corroborating text, provenance, sequence, or multiple independent visual anchors.",,
PHC-315,Duty (Kant),B_context_dependent,same_subdomain,3,PHC-305,Eternal Law (Augustine),Normative & Virtue Ethics,0.069,,,inner compass-like guide;law inscribed on stone tablet;rope of responsibility tied to wrist;unbreakable signpost,heavenly law covering all;inextinguishable divine light;stone tablets through ages;universe-gears,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.","Require corroborating text, provenance, sequence, or multiple independent visual anchors.",,
PHC-315,Duty (Kant),B_context_dependent,same_subdomain,4,PHC-319,Natural Law (Aquinas),Normative & Virtue Ethics,0.067,,,inner compass-like guide;law inscribed on stone tablet;rope of responsibility tied to wrist;unbreakable signpost,command flowing into rivers;law engraved in stars;order permeating all;plumb-line running through,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.","Require corroborating text, provenance, sequence, or multiple independent visual anchors.",,
PHC-315,Duty (Kant),B_context_dependent,same_subdomain,5,PHC-307,Innate Moral Knowledge / Liangzhi (Wang Yangming),Normative & Virtue Ethics,0.036,,,inner compass-like guide;law inscribed on stone tablet;rope of responsibility tied to wrist;unbreakable signpost,compass self-orienting;lamp in the heart;seed's vitality;self-illuminating mirror,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.","Require corroborating text, provenance, sequence, or multiple independent visual anchors.",,
PHC-315,Duty (Kant),B_context_dependent,lexical_overlap,6,PHC-341,Moral Realism (Plato),Metaethics,0.100,,,inner compass-like guide;law inscribed on stone tablet;rope of responsibility tied to wrist;unbreakable signpost,constant measure;independent geometric truth;law inscribed in stone;north star in air,"Require corroborating text, provenance, sequence, or multiple independent visual anchors.","Do not assign from a single image without decisive text, provenance, or task context.",,
