concept_id,philosophical_concept,macro_dimension,subdomain,tradition_school,visual_inferability,temporal_requirement,ontology_status,evidence_tier,exclusion_reason,reachable_via_axes,reachable_image_count,reachable_interpretation_count,symbolic_keywords,visual_evidence_patterns,grounding_rule
PHC-134,Social Ontology,Ontology,Social Ontology,Analytic Philosophy,context_heavy,snapshot,candidate,B_context_dependent,context_heavy_or_process_evidence_required,social_existence,1619,1961,Collective construction; consensus reality,Commonly signed contract; group-voting outcome; social convention; shared trust in currency,"Require corroborating text, provenance, sequence, or multiple independent visual anchors."
PHC-136,Collective Intentionality,Ontology,Social Ontology,Philosophy of Social Action,context_heavy,process,candidate,B_context_dependent,context_heavy_or_process_evidence_required,social_existence,1619,1961,we-intention; shared goal; coordinated contribution,several people following one plan; interdependent roles directed at a shared result; synchronized action with a common target,"Require corroborating text, provenance, sequence, or multiple independent visual anchors."
PHC-363,"Authenticity (Heidegger, Sartre)",Axiology,Moral Psychology & Philosophy of Life,Existentialism,context_heavy,snapshot,candidate,B_context_dependent,context_heavy_or_process_evidence_required,identity_appearance,1475,1581,Genuine; unpretended; true to self,Unmasked face; solitary cabin in wilderness; stripped label; unretouched detail; post-makeup mirror,"Require corroborating text, provenance, sequence, or multiple independent visual anchors."
PHC-133,Agency,Ontology,"Mind, Self & Agency",Philosophy of Action,context_heavy,process,candidate,B_context_dependent,context_heavy_or_process_evidence_required,choice_journey,1125,1149,capacity to act; intentional initiation; control,an agent visibly initiating rather than undergoing a movement; a deliberate choice followed by a matching action; a control interface operated to produce an observable effect,"Require corroborating text, provenance, sequence, or multiple independent visual anchors."
PHC-317,Autonomy in Moral and Political Philosophy,Axiology,Normative & Virtue Ethics,Moral and Political Philosophy,context_heavy,process,candidate,B_context_dependent,context_heavy_or_process_evidence_required,choice_journey,1125,1149,self-government; freedom from controlling interference; norm-guided choice,a person choosing among accessible alternatives without visible coercion; a consent process showing options and refusal; an institution enabling independent participation,"Require corroborating text, provenance, sequence, or multiple independent visual anchors."
PHC-203,Evidence,Epistemology,Justification & Evidence,Contemporary Epistemology,context_heavy,process,candidate,B_context_dependent,context_heavy_or_process_evidence_required,knowledge_truth,948,1005,information that bears on the truth or justification of a claim,an observation or record explicitly linked to a claim; competing evidence arranged for comparison; a measurement changing a stated conclusion,"Require corroborating text, provenance, sequence, or multiple independent visual anchors."
PHC-407,Information Technology & Privacy (Warren & Brandeis),Axiology,Technology & AI Ethics,Applied Ethics,context_heavy,snapshot,candidate,B_context_dependent,context_heavy_or_process_evidence_required,labor_technology,541,555,Exposure; boundary intrusion,Opened private mailbox; surveillance camera; transparent wall; read diary,"Require corroborating text, provenance, sequence, or multiple independent visual anchors."
PHC-315,Duty (Kant),Axiology,Normative & Virtue Ethics,Kantian Ethics,context_heavy,snapshot,candidate,B_context_dependent,context_heavy_or_process_evidence_required,ethics_responsibility,529,535,Ought; obligation; categorical command,Law inscribed on stone tablet; rope of responsibility tied to wrist; inner compass-like guide; unbreakable signpost,"Require corroborating text, provenance, sequence, or multiple independent visual anchors."
PHC-345,Moral Responsibility (Aristotle),Axiology,Metaethics,Metaethics,context_heavy,snapshot,candidate,B_context_dependent,context_heavy_or_process_evidence_required,ethics_responsibility,529,535,Accountability; attributability,Signed statement of responsibility; hand on steering wheel; shoulder bearing consequence; signature left,"Require corroborating text, provenance, sequence, or multiple independent visual anchors."
PHC-382,Collective Responsibility,Axiology,Applied & Professional Ethics,Collective Ethics,context_heavy,process,candidate,B_context_dependent,context_heavy_or_process_evidence_required,ethics_responsibility,529,535,group accountability; shared or distributed responsibility,a group jointly signing a decision; an organizational chain visibly linked to a harmful outcome; team roles assigned in a shared plan,"Require corroborating text, provenance, sequence, or multiple independent visual anchors."
PHC-060,Personal Identity (Locke),Ontology,Identity & Persistence,Analytic Philosophy,context_heavy,longitudinal,candidate,C_excluded_from_core_v1,temporal_longitudinal_unsupported,identity_appearance,1475,1581,Continuous self; memory-chain; diachronic unity,String of pearls; successive footprints; continuous diary pages; same river-system,"Require corroborating text, provenance, sequence, or multiple independent visual anchors."
PHC-161,"Knowledge (Plato, Aristotle)",Epistemology,Knowledge & Truth,Ancient Greek Philosophy,context_heavy,snapshot,ontology_only,C_excluded_from_core_v1,ontology_status_ontology_only,knowledge_truth,948,1005,Theory & practice; know-how; craft mastery,Blueprint beside trowel; anatomy chart with scalpel; score with instrument; design with finished work; theory book next to lab bench,"Require corroborating text, provenance, sequence, or multiple independent visual anchors."
PHC-503,Labour and Work (Marx),Axiology,Political Economy & Critical Theory,Political Economy,context_heavy,process,ontology_only,C_excluded_from_core_v1,ontology_status_ontology_only,labor_technology,541,555,Effort and value-creation,Sweating hands; assembly-line output; tilled fields; polished workpiece,"Require corroborating text, provenance, sequence, or multiple independent visual anchors."
PHC-289,Leap of Faith (Kierkegaard),Epistemology,Religious & Existential Epistemology,Existentialism,symbol_mediated,snapshot,ontology_only,C_excluded_from_core_v1,ontology_status_ontology_only,faith_meaning,148,149,Solitary leap; all-in commitment,Jumping off cliff into invisible; diving into deep water; desperate gesture; suspended take-off; blind bet,Treat the anchor as a culturally contingent cue and state the anchor-to-symbol rationale.
PHC-361,Meaning of Life,Axiology,Moral Psychology & Philosophy of Life,Existential and Analytic Ethics,not_image_decidable,longitudinal,ontology_only,C_excluded_from_core_v1,visual_inferability_not_image_decidable,faith_meaning,148,149,"meaningfulness, purpose, significance, and value of a life",a life narrative connected across projects and relationships; a memorial linking actions to enduring significance; explicit reflection on purpose in readable text,"Do not assign from a single image without decisive text, provenance, or task context."
