blind_id,annotation_item_id,sample_id,file_name,image_path,split,group_id,source,track,benchmark_axis_id,ai_candidate_concept_ids
F0250,F0250,PHL1800_HL_0186,PHL1800_HL_0186.png,images/PHL1800_HL_0186.png,calibration,HL:test_1303.png,HL Dataset,positive,knowledge_truth,PHC-055;PHC-060;PHC-066;PHC-080;PHC-134;PHC-136;PHC-363;PHC-364;PHC-407;PHC-440;PHC-477;PHC-481;PHC-490;PHC-498;PHC-503
F0251,F0251,PHL1800_IRFL_0250,PHL1800_IRFL_0250.jpg,images/PHL1800_IRFL_0250.jpg,calibration,IRFL:fly the coop,IRFL,positive,freedom_constraint,PHC-060;PHC-114;PHC-133;PHC-134;PHC-136;PHC-161;PHC-192;PHC-203;PHC-317;PHC-363;PHC-364;PHC-417;PHC-418;PHC-440;PHC-483
F0257,F0257,PHL1800_HL_0098,PHL1800_HL_0098.png,images/PHL1800_HL_0098.png,calibration,HL:test_725.png,HL Dataset,positive,freedom_constraint,PHC-055;PHC-060;PHC-066;PHC-080;PHC-134;PHC-136;PHC-161;PHC-192;PHC-203;PHC-363;PHC-364;PHC-417;PHC-418;PHC-440;PHC-483
F0273,F0273,PHL1800_HL_0252,PHL1800_HL_0252.png,images/PHL1800_HL_0252.png,calibration,HL:train_4457.png,HL Dataset,positive,ethics_responsibility,PHC-055;PHC-066;PHC-080;PHC-114;PHC-133;PHC-134;PHC-136;PHC-161;PHC-192;PHC-203;PHC-317;PHC-417;PHC-418;PHC-440;PHC-481;PHC-483;PHC-490;PHC-498
F0290,F0290,PHL1800_IRFL_0064,PHL1800_IRFL_0064.jpg,images/PHL1800_IRFL_0064.jpg,calibration,IRFL:hold the ring,IRFL,positive,time_mortality,PHC-060;PHC-134;PHC-136;PHC-161;PHC-192;PHC-203;PHC-315;PHC-345;PHC-363;PHC-364;PHC-382;PHC-417;PHC-418;PHC-440;PHC-481;PHC-483;PHC-490;PHC-498
F0296,F0296,PHL1800_IRFL_0171,PHL1800_IRFL_0171.jpg,images/PHL1800_IRFL_0171.jpg,calibration,IRFL:with a will,IRFL,positive,social_existence,PHC-055;PHC-066;PHC-080;PHC-114;PHC-133;PHC-134;PHC-136;PHC-161;PHC-192;PHC-203;PHC-289;PHC-317;PHC-361;PHC-417;PHC-418;PHC-440;PHC-483
F0300,F0300,PHL1800_HL_0187,PHL1800_HL_0187.png,images/PHL1800_HL_0187.png,calibration,HL:train_3387.png,HL Dataset,positive,knowledge_truth,PHC-055;PHC-060;PHC-066;PHC-080;PHC-114;PHC-133;PHC-134;PHC-136;PHC-161;PHC-192;PHC-203;PHC-317;PHC-363;PHC-364;PHC-417;PHC-418;PHC-440;PHC-483
F0305,F0305,PHL1800_HL_0503,PHL1800_HL_0503.png,images/PHL1800_HL_0503.png,calibration,HL:train_11859.png,HL Dataset,boundary,insufficient_evidence,PHC-055;PHC-060;PHC-066;PHC-080;PHC-114;PHC-133;PHC-134;PHC-136;PHC-161;PHC-192;PHC-203;PHC-317;PHC-363;PHC-364;PHC-417;PHC-418;PHC-440;PHC-483
F0311,F0311,PHL1800_HAIV_0365,PHL1800_HAIV_0365.png,images/PHL1800_HAIV_0365.png,calibration,HAIV:CoPoet:your body is a forest,HAIVMet,positive,identity_appearance,PHC-055;PHC-060;PHC-066;PHC-080;PHC-114;PHC-133;PHC-134;PHC-136;PHC-315;PHC-317;PHC-345;PHC-363;PHC-364;PHC-382;PHC-417;PHC-418;PHC-440;PHC-483
F0315,F0315,PHL1800_HAIV_0449,PHL1800_HAIV_0449.png,images/PHL1800_HAIV_0449.png,calibration,HAIV:Tsvetkov:the police closed the investigation.,HAIVMet,positive,ethics_responsibility,PHC-060;PHC-114;PHC-133;PHC-134;PHC-136;PHC-161;PHC-192;PHC-203;PHC-315;PHC-317;PHC-345;PHC-363;PHC-364;PHC-382;PHC-417;PHC-418;PHC-440;PHC-483
F0319,F0319,PHL1800_MM_0046,PHL1800_MM_0046.jpg,images/PHL1800_MM_0046.jpg,calibration,MM:seed:86,MM-MoralBench,positive,ethics_responsibility,PHC-055;PHC-060;PHC-066;PHC-080;PHC-134;PHC-136;PHC-315;PHC-345;PHC-363;PHC-364;PHC-382;PHC-407;PHC-417;PHC-418;PHC-440;PHC-477;PHC-483;PHC-503
F0328,F0328,PHL1800_HL_0036,PHL1800_HL_0036.png,images/PHL1800_HL_0036.png,calibration,HL:test_270.png,HL Dataset,positive,time_mortality,PHC-055;PHC-060;PHC-066;PHC-080;PHC-134;PHC-136;PHC-161;PHC-192;PHC-203;PHC-315;PHC-345;PHC-363;PHC-364;PHC-382;PHC-417;PHC-418;PHC-440;PHC-483
F0336,F0336,PHL1800_MM_0085,PHL1800_MM_0085.jpg,images/PHL1800_MM_0085.jpg,calibration,MM:seed:1007,MM-MoralBench,positive,ethics_responsibility,PHC-060;PHC-114;PHC-133;PHC-134;PHC-136;PHC-161;PHC-192;PHC-203;PHC-317;PHC-363;PHC-364;PHC-407;PHC-417;PHC-418;PHC-440;PHC-477;PHC-483;PHC-503
F0341,F0341,PHL1800_IRFL_0492,PHL1800_IRFL_0492.jpg,images/PHL1800_IRFL_0492.jpg,calibration,IRFL:as tall as a mountain,IRFL,boundary,insufficient_evidence,PHC-055;PHC-066;PHC-080;PHC-134;PHC-136;PHC-161;PHC-192;PHC-203;PHC-289;PHC-361;PHC-407;PHC-417;PHC-418;PHC-440;PHC-477;PHC-483;PHC-503
F0354,F0354,PHL1800_HAIV_0196,PHL1800_HAIV_0196.png,images/PHL1800_HAIV_0196.png,calibration,HAIV:FLUTE:the atmosphere was like a funeral chamber for some big shot human being.,HAIVMet,positive,time_mortality,PHC-055;PHC-060;PHC-066;PHC-080;PHC-134;PHC-136;PHC-315;PHC-345;PHC-363;PHC-364;PHC-382;PHC-417;PHC-418;PHC-440;PHC-481;PHC-483;PHC-490;PHC-498
F0361,F0361,PHL1800_HAIV_0259,PHL1800_HAIV_0259.png,images/PHL1800_HAIV_0259.png,calibration,"HAIV:FLUTE:whenever the sun goes away, he stays up there keeping the magic like a sacred burning flame.",HAIVMet,positive,faith_meaning,PHC-055;PHC-066;PHC-080;PHC-114;PHC-133;PHC-134;PHC-136;PHC-161;PHC-192;PHC-203;PHC-289;PHC-317;PHC-361;PHC-440;PHC-481;PHC-490;PHC-498
F0379,F0379,PHL1800_HAIV_0143,PHL1800_HAIV_0143.png,images/PHL1800_HAIV_0143.png,calibration,HAIV:FLUTE:your body is a wonderland,HAIVMet,positive,identity_appearance,PHC-055;PHC-060;PHC-066;PHC-080;PHC-114;PHC-133;PHC-134;PHC-136;PHC-289;PHC-317;PHC-361;PHC-363;PHC-364;PHC-417;PHC-418;PHC-440;PHC-483
F0380,F0380,PHL1800_HL_0551,PHL1800_HL_0551.png,images/PHL1800_HL_0551.png,calibration,HL:train_10281.png,HL Dataset,boundary,insufficient_evidence,PHC-060;PHC-114;PHC-133;PHC-134;PHC-136;PHC-317;PHC-363;PHC-364;PHC-407;PHC-417;PHC-418;PHC-440;PHC-477;PHC-481;PHC-483;PHC-490;PHC-498;PHC-503
F0385,F0385,PHL1800_IRFL_0453,PHL1800_IRFL_0453.jpg,images/PHL1800_IRFL_0453.jpg,calibration,IRFL:turn heads,IRFL,boundary,insufficient_evidence,PHC-060;PHC-134;PHC-136;PHC-161;PHC-192;PHC-203;PHC-363;PHC-364;PHC-440
F0408,F0408,PHL1800_HAIV_0028,PHL1800_HAIV_0028.png,images/PHL1800_HAIV_0028.png,calibration,HAIV:FLUTE:death is knocking at the door.,HAIVMet,positive,power_conflict,PHC-055;PHC-060;PHC-066;PHC-080;PHC-134;PHC-136;PHC-315;PHC-345;PHC-363;PHC-364;PHC-382;PHC-417;PHC-418;PHC-440;PHC-481;PHC-483;PHC-490;PHC-498
F0424,F0424,PHL1800_IRFL_0427,PHL1800_IRFL_0427.jpg,images/PHL1800_IRFL_0427.jpg,calibration,IRFL:cry wolf,IRFL,boundary,insufficient_evidence,PHC-060;PHC-114;PHC-133;PHC-134;PHC-136;PHC-289;PHC-317;PHC-361;PHC-363;PHC-364;PHC-417;PHC-418;PHC-440;PHC-483
F0437,F0437,PHL1800_HAIV_0458,PHL1800_HAIV_0458.png,images/PHL1800_HAIV_0458.png,calibration,HAIV:Tsvetkov:the pride bursts from my heart.,HAIVMet,positive,social_existence,PHC-060;PHC-114;PHC-133;PHC-134;PHC-136;PHC-161;PHC-192;PHC-203;PHC-317;PHC-363;PHC-364;PHC-417;PHC-418;PHC-440;PHC-483
F0442,F0442,PHL1800_IRFL_0067,PHL1800_IRFL_0067.jpg,images/PHL1800_IRFL_0067.jpg,calibration,IRFL:hold the ring,IRFL,positive,time_mortality,PHC-060;PHC-114;PHC-133;PHC-134;PHC-136;PHC-161;PHC-192;PHC-203;PHC-317;PHC-363;PHC-364;PHC-417;PHC-418;PHC-440;PHC-481;PHC-483;PHC-490;PHC-498
F0454,F0454,PHL1800_HL_0421,PHL1800_HL_0421.png,images/PHL1800_HL_0421.png,calibration,HL:train_6053.png,HL Dataset,positive,faith_meaning,PHC-060;PHC-114;PHC-133;PHC-134;PHC-136;PHC-317;PHC-363;PHC-364;PHC-417;PHC-418;PHC-440;PHC-481;PHC-483;PHC-490;PHC-498
F0469,F0469,PHL1800_HAIV_0470,PHL1800_HAIV_0470.png,images/PHL1800_HAIV_0470.png,calibration,HAIV:Tsvetkov:the protagonist trinity pierce is a college professor with a murky past who lives and works in cambridge massachusetts.,HAIVMet,positive,time_mortality,PHC-060;PHC-114;PHC-133;PHC-134;PHC-136;PHC-161;PHC-192;PHC-203;PHC-317;PHC-363;PHC-364;PHC-407;PHC-417;PHC-418;PHC-440;PHC-477;PHC-483;PHC-503
F0474,F0474,PHL1800_IRFL_0011,PHL1800_IRFL_0011.jpg,images/PHL1800_IRFL_0011.jpg,calibration,IRFL:stand the test of time,IRFL,positive,time_mortality,PHC-055;PHC-066;PHC-080;PHC-161;PHC-192;PHC-203;PHC-417;PHC-418;PHC-483
F0476,F0476,PHL1800_HL_0001,PHL1800_HL_0001.png,images/PHL1800_HL_0001.png,calibration,HL:train_10878.png,HL Dataset,positive,ethics_responsibility,PHC-055;PHC-066;PHC-080;PHC-114;PHC-133;PHC-134;PHC-136;PHC-317;PHC-407;PHC-417;PHC-418;PHC-440;PHC-477;PHC-481;PHC-483;PHC-490;PHC-498;PHC-503
F0481,F0481,PHL1800_HL_0458,PHL1800_HL_0458.png,images/PHL1800_HL_0458.png,calibration,HL:train_2641.png,HL Dataset,positive,labor_technology,PHC-114;PHC-133;PHC-134;PHC-136;PHC-161;PHC-192;PHC-203;PHC-317;PHC-407;PHC-417;PHC-418;PHC-440;PHC-477;PHC-483;PHC-503
F0487,F0487,PHL1800_HAIV_0333,PHL1800_HAIV_0333.png,images/PHL1800_HAIV_0333.png,calibration,HAIV:CoPoet:death is a monster i’ll face with no fear,HAIVMet,positive,time_mortality,PHC-055;PHC-060;PHC-066;PHC-080;PHC-114;PHC-133;PHC-134;PHC-136;PHC-317;PHC-363;PHC-364;PHC-417;PHC-418;PHC-440;PHC-481;PHC-483;PHC-490;PHC-498
F0501,F0501,PHL1800_IRFL_0077,PHL1800_IRFL_0077.jpg,images/PHL1800_IRFL_0077.jpg,calibration,IRFL:top dollar,IRFL,positive,labor_technology,PHC-060;PHC-134;PHC-136;PHC-161;PHC-192;PHC-203;PHC-363;PHC-364;PHC-407;PHC-417;PHC-418;PHC-440;PHC-477;PHC-481;PHC-483;PHC-490;PHC-498;PHC-503
F0520,F0520,PHL1800_HL_0210,PHL1800_HL_0210.png,images/PHL1800_HL_0210.png,calibration,HL:test_1490.png,HL Dataset,positive,knowledge_truth,PHC-060;PHC-114;PHC-133;PHC-134;PHC-136;PHC-317;PHC-363;PHC-364;PHC-407;PHC-417;PHC-418;PHC-440;PHC-477;PHC-483;PHC-503
F0552,F0552,PHL1800_HL_0283,PHL1800_HL_0283.png,images/PHL1800_HL_0283.png,calibration,HL:test_1260.png,HL Dataset,positive,power_conflict,PHC-055;PHC-060;PHC-066;PHC-080;PHC-114;PHC-133;PHC-134;PHC-136;PHC-161;PHC-192;PHC-203;PHC-317;PHC-363;PHC-364;PHC-407;PHC-440;PHC-477;PHC-503
F0553,F0553,PHL1800_HL_0263,PHL1800_HL_0263.png,images/PHL1800_HL_0263.png,calibration,HL:train_4512.png,HL Dataset,positive,power_conflict,PHC-055;PHC-066;PHC-080;PHC-134;PHC-136;PHC-161;PHC-192;PHC-203;PHC-407;PHC-440;PHC-477;PHC-481;PHC-490;PHC-498;PHC-503
F0584,F0584,PHL1800_HAIV_0515,PHL1800_HAIV_0515.png,images/PHL1800_HAIV_0515.png,calibration,HAIV:FigQA:the mind is an ocean.,HAIVMet,positive,knowledge_truth,PHC-055;PHC-060;PHC-066;PHC-080;PHC-161;PHC-192;PHC-203;PHC-289;PHC-361;PHC-363;PHC-364;PHC-407;PHC-417;PHC-418;PHC-477;PHC-483;PHC-503
F0586,F0586,PHL1800_HAIV_0275,PHL1800_HAIV_0275.png,images/PHL1800_HAIV_0275.png,calibration,HAIV:FLUTE:she has a heart of stone,HAIVMet,positive,social_existence,PHC-060;PHC-134;PHC-136;PHC-161;PHC-192;PHC-203;PHC-289;PHC-315;PHC-345;PHC-361;PHC-363;PHC-364;PHC-382;PHC-417;PHC-418;PHC-440;PHC-483
F0630,F0630,PHL1800_HL_0135,PHL1800_HL_0135.png,images/PHL1800_HL_0135.png,calibration,HL:train_9963.png,HL Dataset,positive,identity_appearance,PHC-060;PHC-134;PHC-136;PHC-363;PHC-364;PHC-417;PHC-418;PHC-440;PHC-481;PHC-483;PHC-490;PHC-498
F0631,F0631,PHL1800_IRFL_0424,PHL1800_IRFL_0424.jpg,images/PHL1800_IRFL_0424.jpg,calibration,IRFL:go by the board,IRFL,boundary,insufficient_evidence,PHC-055;PHC-066;PHC-080;PHC-114;PHC-133;PHC-134;PHC-136;PHC-161;PHC-192;PHC-203;PHC-317;PHC-417;PHC-418;PHC-440;PHC-481;PHC-483;PHC-490;PHC-498
F0668,F0668,PHL1800_MM_0037,PHL1800_MM_0037.jpg,images/PHL1800_MM_0037.jpg,calibration,MM:seed:98,MM-MoralBench,positive,ethics_responsibility,PHC-060;PHC-114;PHC-133;PHC-134;PHC-136;PHC-161;PHC-192;PHC-203;PHC-317;PHC-363;PHC-364;PHC-417;PHC-418;PHC-440;PHC-483
F0674,F0674,PHL1800_HL_0382,PHL1800_HL_0382.png,images/PHL1800_HL_0382.png,calibration,HL:train_12216.png,HL Dataset,positive,social_existence,PHC-055;PHC-060;PHC-066;PHC-080;PHC-114;PHC-133;PHC-134;PHC-136;PHC-161;PHC-192;PHC-203;PHC-317;PHC-363;PHC-364;PHC-440
F0678,F0678,PHL1800_IRFL_0052,PHL1800_IRFL_0052.jpg,images/PHL1800_IRFL_0052.jpg,calibration,IRFL:rub someone the wrong way,IRFL,positive,ethics_responsibility,PHC-055;PHC-060;PHC-066;PHC-080;PHC-134;PHC-136;PHC-161;PHC-192;PHC-203;PHC-363;PHC-364;PHC-417;PHC-418;PHC-440;PHC-483
F0680,F0680,PHL1800_HL_0499,PHL1800_HL_0499.png,images/PHL1800_HL_0499.png,calibration,HL:train_10383.png,HL Dataset,positive,labor_technology,PHC-060;PHC-134;PHC-136;PHC-161;PHC-192;PHC-203;PHC-363;PHC-364;PHC-407;PHC-417;PHC-418;PHC-440;PHC-477;PHC-483;PHC-503
F0683,F0683,PHL1800_IRFL_0169,PHL1800_IRFL_0169.jpg,images/PHL1800_IRFL_0169.jpg,calibration,IRFL:under a cloud,IRFL,positive,time_mortality,PHC-055;PHC-060;PHC-066;PHC-080;PHC-134;PHC-136;PHC-161;PHC-192;PHC-203;PHC-363;PHC-364;PHC-417;PHC-418;PHC-440;PHC-481;PHC-483;PHC-490;PHC-498
F0689,F0689,PHL1800_HAIV_0171,PHL1800_HAIV_0171.png,images/PHL1800_HAIV_0171.png,calibration,"HAIV:FLUTE:when the prophet told you that all your dreams would come true, you were like a million-dollar lottery winner.",HAIVMet,positive,power_conflict,PHC-060;PHC-114;PHC-133;PHC-134;PHC-136;PHC-161;PHC-192;PHC-203;PHC-317;PHC-363;PHC-364;PHC-417;PHC-418;PHC-440;PHC-481;PHC-483;PHC-490;PHC-498
F0704,F0704,PHL1800_HAIV_0247,PHL1800_HAIV_0247.png,images/PHL1800_HAIV_0247.png,calibration,HAIV:FLUTE:you wake one morning to find your entire family lying like gray slabs of cement.,HAIVMet,positive,social_existence,PHC-060;PHC-114;PHC-133;PHC-134;PHC-136;PHC-161;PHC-192;PHC-203;PHC-317;PHC-363;PHC-364;PHC-417;PHC-418;PHC-440;PHC-481;PHC-483;PHC-490;PHC-498
F0706,F0706,PHL1800_IRFL_0352,PHL1800_IRFL_0352.jpg,images/PHL1800_IRFL_0352.jpg,calibration,IRFL:as strong as an ox,IRFL,positive,identity_appearance,PHC-060;PHC-114;PHC-133;PHC-134;PHC-136;PHC-317;PHC-363;PHC-364;PHC-407;PHC-417;PHC-418;PHC-440;PHC-477;PHC-481;PHC-483;PHC-490;PHC-498;PHC-503
F0762,F0762,PHL1800_HL_0203,PHL1800_HL_0203.png,images/PHL1800_HL_0203.png,calibration,HL:train_4170.png,HL Dataset,positive,knowledge_truth,PHC-060;PHC-134;PHC-136;PHC-161;PHC-192;PHC-203;PHC-315;PHC-345;PHC-363;PHC-364;PHC-382;PHC-407;PHC-440;PHC-477;PHC-481;PHC-490;PHC-498;PHC-503
F0764,F0764,PHL1800_HL_0102,PHL1800_HL_0102.png,images/PHL1800_HL_0102.png,calibration,HL:train_11147.png,HL Dataset,positive,freedom_constraint,PHC-055;PHC-066;PHC-080;PHC-114;PHC-133;PHC-134;PHC-136;PHC-161;PHC-192;PHC-203;PHC-317;PHC-417;PHC-418;PHC-440;PHC-483
F0766,F0766,PHL1800_HAIV_0510,PHL1800_HAIV_0510.png,images/PHL1800_HAIV_0510.png,calibration,HAIV:FigQA:his heart was made of gold.,HAIVMet,positive,social_existence,PHC-060;PHC-289;PHC-315;PHC-345;PHC-361;PHC-363;PHC-364;PHC-382
F0772,F0772,PHL1800_IRFL_0120,PHL1800_IRFL_0120.jpg,images/PHL1800_IRFL_0120.jpg,calibration,IRFL:stand the test of time,IRFL,positive,time_mortality,PHC-055;PHC-066;PHC-080;PHC-161;PHC-192;PHC-203;PHC-417;PHC-418;PHC-483
F0794,F0794,PHL1800_HAIV_0321,PHL1800_HAIV_0321.png,images/PHL1800_HAIV_0321.png,calibration,HAIV:FLUTE:the faculty meeting was a circus.,HAIVMet,positive,social_existence,PHC-055;PHC-060;PHC-066;PHC-080;PHC-134;PHC-136;PHC-315;PHC-345;PHC-363;PHC-364;PHC-382;PHC-440;PHC-481;PHC-490;PHC-498
F0795,F0795,PHL1800_IRFL_0162,PHL1800_IRFL_0162.jpg,images/PHL1800_IRFL_0162.jpg,calibration,IRFL:under lock and key,IRFL,positive,freedom_constraint,PHC-055;PHC-060;PHC-066;PHC-080;PHC-134;PHC-136;PHC-315;PHC-345;PHC-363;PHC-364;PHC-382;PHC-417;PHC-418;PHC-440;PHC-481;PHC-483;PHC-490;PHC-498
F0827,F0827,PHL1800_HAIV_0270,PHL1800_HAIV_0270.png,images/PHL1800_HAIV_0270.png,calibration,HAIV:FLUTE:the changing of the guard was like a well-oiled clock .,HAIVMet,positive,time_mortality,PHC-055;PHC-060;PHC-066;PHC-080;PHC-134;PHC-136;PHC-161;PHC-192;PHC-203;PHC-315;PHC-345;PHC-363;PHC-364;PHC-382;PHC-417;PHC-418;PHC-440;PHC-483
F0842,F0842,PHL1800_HAIV_0076,PHL1800_HAIV_0076.png,images/PHL1800_HAIV_0076.png,calibration,HAIV:FLUTE:war was a nightmare.,HAIVMet,positive,power_conflict,PHC-060;PHC-134;PHC-136;PHC-161;PHC-192;PHC-203;PHC-363;PHC-364;PHC-417;PHC-418;PHC-440;PHC-481;PHC-483;PHC-490;PHC-498
F0846,F0846,PHL1800_MM_0134,PHL1800_MM_0134.jpg,images/PHL1800_MM_0134.jpg,calibration,MM:seed:982,MM-MoralBench,positive,ethics_responsibility,PHC-055;PHC-060;PHC-066;PHC-080;PHC-114;PHC-133;PHC-134;PHC-136;PHC-315;PHC-317;PHC-345;PHC-363;PHC-364;PHC-382;PHC-417;PHC-418;PHC-440;PHC-483
F0852,F0852,PHL1800_HL_0492,PHL1800_HL_0492.png,images/PHL1800_HL_0492.png,calibration,HL:train_1090.png,HL Dataset,positive,labor_technology,PHC-055;PHC-066;PHC-080;PHC-114;PHC-133;PHC-134;PHC-136;PHC-315;PHC-317;PHC-345;PHC-382;PHC-407;PHC-417;PHC-418;PHC-440;PHC-477;PHC-483;PHC-503
F0864,F0864,PHL1800_HL_0540,PHL1800_HL_0540.png,images/PHL1800_HL_0540.png,calibration,HL:train_4756.png,HL Dataset,boundary,insufficient_evidence,PHC-060;PHC-114;PHC-133;PHC-317;PHC-363;PHC-364;PHC-417;PHC-418;PHC-483
F0870,F0870,PHL1800_HL_0002,PHL1800_HL_0002.png,images/PHL1800_HL_0002.png,calibration,HL:train_9063.png,HL Dataset,positive,time_mortality,PHC-055;PHC-060;PHC-066;PHC-080;PHC-134;PHC-136;PHC-161;PHC-192;PHC-203;PHC-363;PHC-364;PHC-407;PHC-417;PHC-418;PHC-440;PHC-477;PHC-483;PHC-503
F0888,F0888,PHL1800_MM_0063,PHL1800_MM_0063.jpg,images/PHL1800_MM_0063.jpg,calibration,MM:seed:474,MM-MoralBench,positive,ethics_responsibility,PHC-060;PHC-114;PHC-133;PHC-134;PHC-136;PHC-317;PHC-363;PHC-364;PHC-407;PHC-440;PHC-477;PHC-481;PHC-490;PHC-498;PHC-503
