blind_id,image_path,human_phc_claims,mapper_id,mapping_date,notes
F1065,images/PHL1800_HL_0355.png,,,,
F1068,images/PHL1800_HL_0165.png,,,,
F1069,images/PHL1800_HAIV_0095.png,,,,
F1072,images/PHL1800_IRFL_0049.jpg,,,,
F1075,images/PHL1800_IRFL_0168.jpg,,,,
F1076,images/PHL1800_HAIV_0540.png,,,,
F1078,images/PHL1800_HAIV_0200.png,,,,
F1090,images/PHL1800_IRFL_0319.jpg,,,,
F1100,images/PHL1800_HL_0253.png,,,,
F1104,images/PHL1800_HL_0414.png,,,,
F1107,images/PHL1800_IRFL_0095.jpg,,,,
F1112,images/PHL1800_IRFL_0254.jpg,,,,
F1132,images/PHL1800_IRFL_0294.jpg,,,,
F1164,images/PHL1800_MM_0075.jpg,,,,
F1168,images/PHL1800_HL_0342.png,,,,
F1195,images/PHL1800_HAIV_0113.png,,,,
F1198,images/PHL1800_MM_0019.jpg,,,,
F1228,images/PHL1800_HAIV_0129.png,,,,
F1232,images/PHL1800_IRFL_0390.jpg,,,,
F1242,images/PHL1800_HL_0204.png,,,,
F1257,images/PHL1800_HL_0259.png,,,,
F1261,images/PHL1800_HAIV_0522.png,,,,
F1267,images/PHL1800_IRFL_0030.jpg,,,,
F1271,images/PHL1800_HAIV_0160.png,,,,
F1280,images/PHL1800_MM_0066.jpg,,,,
F1297,images/PHL1800_HAIV_0063.png,,,,
F1300,images/PHL1800_HAIV_0442.png,,,,
F1301,images/PHL1800_IRFL_0379.jpg,,,,
F1319,images/PHL1800_IRFL_0002.jpg,,,,
F1326,images/PHL1800_HL_0379.png,,,,
F1331,images/PHL1800_HL_0353.png,,,,
F1332,images/PHL1800_IRFL_0481.jpg,,,,
F1334,images/PHL1800_MM_0116.jpg,,,,
F1335,images/PHL1800_HAIV_0266.png,,,,
F1339,images/PHL1800_HAIV_0298.png,,,,
F1352,images/PHL1800_IRFL_0091.webp,,,,
F1357,images/PHL1800_HAIV_0490.png,,,,
F1359,images/PHL1800_HAIV_0100.png,,,,
F1360,images/PHL1800_HL_0345.png,,,,
F1407,images/PHL1800_IRFL_0354.jpg,,,,
F1413,images/PHL1800_HAIV_0202.png,,,,
F1418,images/PHL1800_IRFL_0245.jpg,,,,
F1444,images/PHL1800_HL_0542.png,,,,
F1446,images/PHL1800_MM_0091.jpg,,,,
F1447,images/PHL1800_HAIV_0157.png,,,,
F1448,images/PHL1800_HL_0420.png,,,,
F1461,images/PHL1800_HL_0495.png,,,,
F1479,images/PHL1800_HAIV_0217.png,,,,
F1483,images/PHL1800_HAIV_0002.png,,,,
F1489,images/PHL1800_IRFL_0409.jpg,,,,
F1495,images/PHL1800_HL_0498.png,,,,
F1497,images/PHL1800_IRFL_0027.jpg,,,,
F1498,images/PHL1800_HAIV_0348.png,,,,
F1513,images/PHL1800_MM_0079.jpg,,,,
F1519,images/PHL1800_IRFL_0059.jpg,,,,
F1527,images/PHL1800_HAIV_0390.png,,,,
F1531,images/PHL1800_IRFL_0446.jpg,,,,
F1539,images/PHL1800_HAIV_0164.png,,,,
F1549,images/PHL1800_HAIV_0462.png,,,,
F1550,images/PHL1800_HL_0532.png,,,,
F1568,images/PHL1800_IRFL_0252.jpg,,,,
F1608,images/PHL1800_HAIV_0505.png,,,,
F1612,images/PHL1800_IRFL_0385.jpg,,,,
F1615,images/PHL1800_HAIV_0277.png,,,,
F1623,images/PHL1800_HL_0439.png,,,,
F1628,images/PHL1800_HAIV_0328.png,,,,
F1630,images/PHL1800_MM_0115.jpg,,,,
F1631,images/PHL1800_HAIV_0357.png,,,,
F1647,images/PHL1800_HL_0103.png,,,,
F1674,images/PHL1800_IRFL_0061.jpg,,,,
F1684,images/PHL1800_IRFL_0353.jpg,,,,
F1692,images/PHL1800_IRFL_0440.jpg,,,,
F1705,images/PHL1800_HAIV_0285.png,,,,
F1707,images/PHL1800_HL_0215.png,,,,
F1711,images/PHL1800_HL_0314.png,,,,
F1714,images/PHL1800_IRFL_0099.webp,,,,
F1717,images/PHL1800_HL_0278.png,,,,
F1734,images/PHL1800_HAIV_0086.png,,,,
F1753,images/PHL1800_HL_0376.png,,,,
F1756,images/PHL1800_HL_0493.png,,,,
F1759,images/PHL1800_HAIV_0146.png,,,,
F1779,images/PHL1800_HL_0237.png,,,,
F1781,images/PHL1800_HL_0320.png,,,,
F1784,images/PHL1800_IRFL_0462.jpg,,,,
F1789,images/PHL1800_HL_0027.png,,,,
F1794,images/PHL1800_HAIV_0455.png,,,,
F1795,images/PHL1800_HL_0081.png,,,,
