annotation_item_id,reason,changed_fields,backup
F0927,Added an explicit insufficient-evidence reading to a boundary-track item whose three readings were all asserted as plausible.,philosophy_interpretations[2] | provenance.audit_revisions,audit/annotation_quality_v1/original_items_before_repair/F0927.json
F1013,Added an explicit insufficient-evidence reading to a boundary-track item whose three readings were all asserted as plausible.,philosophy_interpretations[2] | provenance.audit_revisions,audit/annotation_quality_v1/original_items_before_repair/F1013.json
F1036,Replaced a 113-word action caption and brittle exact-person count after direct image inspection.,captions.action | captions.object[4],audit/annotation_quality_v1/original_items_before_repair/F1036.json
F1052,Added an explicit insufficient-evidence reading to a boundary-track item whose three readings were all asserted as plausible.,philosophy_interpretations[2] | provenance.audit_revisions,audit/annotation_quality_v1/original_items_before_repair/F1052.json
F1104,Corrected a confirmed cross-image semantic mismatch after direct image inspection.,target_subject | captions | rationale_support | text_dependency | philosophy_interpretations | method | review | provenance.audit_revision,audit/annotation_quality_v1/original_items_before_repair/F1104.json
F1136,Added an explicit insufficient-evidence reading to a boundary-track item whose three readings were all asserted as plausible.,philosophy_interpretations[2] | provenance.audit_revisions,audit/annotation_quality_v1/original_items_before_repair/F1136.json
F1200,Added an explicit insufficient-evidence reading to a boundary-track item whose three readings were all asserted as plausible.,philosophy_interpretations[2] | provenance.audit_revisions,audit/annotation_quality_v1/original_items_before_repair/F1200.json
F1273,Added an explicit insufficient-evidence reading to a boundary-track item whose three readings were all asserted as plausible.,philosophy_interpretations[2] | provenance.audit_revisions,audit/annotation_quality_v1/original_items_before_repair/F1273.json
F1347,Corrected a confirmed cross-image semantic mismatch after direct image inspection.,target_subject | captions | rationale_support | text_dependency | philosophy_interpretations | method | review | provenance.audit_revision,audit/annotation_quality_v1/original_items_before_repair/F1347.json
F1412,Added an explicit insufficient-evidence reading to a boundary-track item whose three readings were all asserted as plausible.,philosophy_interpretations[2] | provenance.audit_revisions,audit/annotation_quality_v1/original_items_before_repair/F1412.json
F1417,Added an explicit insufficient-evidence reading to a boundary-track item whose three readings were all asserted as plausible.,philosophy_interpretations[2] | provenance.audit_revisions,audit/annotation_quality_v1/original_items_before_repair/F1417.json
F1518,Added an explicit insufficient-evidence reading to a boundary-track item whose three readings were all asserted as plausible.,philosophy_interpretations[2] | provenance.audit_revisions,audit/annotation_quality_v1/original_items_before_repair/F1518.json
F1525,Added an explicit insufficient-evidence reading to a boundary-track item whose three readings were all asserted as plausible.,philosophy_interpretations[2] | provenance.audit_revisions,audit/annotation_quality_v1/original_items_before_repair/F1525.json
F1614,Added an explicit insufficient-evidence reading to a boundary-track item whose three readings were all asserted as plausible.,philosophy_interpretations[2] | provenance.audit_revisions,audit/annotation_quality_v1/original_items_before_repair/F1614.json
F1661,Corrected a confirmed cross-image semantic mismatch after direct image inspection.,target_subject | captions | rationale_support | text_dependency | philosophy_interpretations | method | review | provenance.audit_revision,audit/annotation_quality_v1/original_items_before_repair/F1661.json
F1670,Corrected a confirmed cross-image semantic mismatch after direct image inspection.,target_subject | captions | rationale_support | text_dependency | philosophy_interpretations | method | review | provenance.audit_revision,audit/annotation_quality_v1/original_items_before_repair/F1670.json
F1700,Added an explicit insufficient-evidence reading to a boundary-track item whose three readings were all asserted as plausible.,philosophy_interpretations[2] | provenance.audit_revisions,audit/annotation_quality_v1/original_items_before_repair/F1700.json
F1703,Added an explicit insufficient-evidence reading to a boundary-track item whose three readings were all asserted as plausible.,philosophy_interpretations[2] | provenance.audit_revisions,audit/annotation_quality_v1/original_items_before_repair/F1703.json
F1730,Added an explicit insufficient-evidence reading to a boundary-track item whose three readings were all asserted as plausible.,philosophy_interpretations[2] | provenance.audit_revisions,audit/annotation_quality_v1/original_items_before_repair/F1730.json
